X,Y,Z,WholeDate,Phone id,Xspeed,YSpeed,ZSpeed,ModSpd,STheta,Xacc,Yacc,Zacc,ModAcc,ATheta
274,347,0,26/09/2014 10:35:13,TA92903URNf067ff16fcf8e045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,302,0,26/09/2014 10:35:16,TA92903URNf067ff16fcf8e045,-39.333333333333336,-15.0,0.0,42.09645010106091,0.36433131731253837,0.0,0.0,0.0,0.0,0.0
199,364,0,26/09/2014 10:35:18,TA92903URNf067ff16fcf8e045,21.5,31.0,0.0,37.72598573927526,0.964413440418934,30.416666666666668,23.0,0.0,-2.1852321808928252,0.6474346549390869
156,364,0,26/09/2014 10:35:20,TA92903URNf067ff16fcf8e045,-21.5,0.0,0.0,21.5,-0.0,-21.5,-15.5,0.0,-8.11299286963763,0.6246354227716135
156,364,0,26/09/2014 10:35:22,TA92903URNf067ff16fcf8e045,0.0,0.0,0.0,0.0,-0.0,10.75,0.0,0.0,-10.75,0.0
156,364,0,26/09/2014 10:35:24,TA92903URNf067ff16fcf8e045,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
156,364,0,26/09/2014 10:35:26,TA92903URNf067ff16fcf8e045,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
156,364,0,26/09/2014 10:35:30,TA92903URNf067ff16fcf8e045,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
156,364,0,26/09/2014 10:35:33,TA92903URNf067ff16fcf8e045,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
156,302,0,26/09/2014 10:35:35,TA92903URNf067ff16fcf8e045,0.0,-31.0,0.0,31.0,-1.5707963267948966,0.0,-15.5,0.0,15.5,-1.5707963267948966
199,364,0,26/09/2014 10:35:37,TA92903URNf067ff16fcf8e045,21.5,31.0,0.0,37.72598573927526,0.964413440418934,10.75,31.0,0.0,3.3629928696376297,1.2369981625440685
199,364,0,26/09/2014 10:35:39,TA92903URNf067ff16fcf8e045,0.0,0.0,0.0,0.0,0.964413440418934,-10.75,-15.5,0.0,-18.86299286963763,0.964413440418934
221,320,0,26/09/2014 10:35:41,TA92903URNf067ff16fcf8e045,11.0,-22.0,0.0,24.596747752497688,-1.1071487177940904,5.5,-11.0,0.0,12.298373876248844,-1.1071487177940904
