X,Y,Z,WholeDate,Phone id,Time Between values,Xspeed,YSpeed,ZSpeed,ModSpd,STheta,Xacc,Yacc,Zacc,ModAcc,ATheta
274,320,0,24/09/2014 11:01:17,TA92903URNf067ff16fcf8e045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,302,0,24/09/2014 11:01:19,TA92903URNf067ff16fcf8e045,2.0,-37.5,-9.0,0.0,38.56488039654732,0.23554498072086333,0.0,0.0,0.0,0.0,0.0
177,302,0,24/09/2014 11:01:21,TA92903URNf067ff16fcf8e045,2.0,-11.0,0.0,0.0,11.0,-0.0,13.25,4.5,0.0,-13.782440198273662,0.32740021180022655
199,302,0,24/09/2014 11:01:25,TA92903URNf067ff16fcf8e045,4.0,5.5,0.0,0.0,5.5,0.0,4.125,0.0,0.0,-1.375,0.0
177,302,0,24/09/2014 11:01:27,TA92903URNf067ff16fcf8e045,2.0,-11.0,0.0,0.0,11.0,-0.0,-8.25,0.0,0.0,2.75,-0.0
156,302,0,24/09/2014 11:01:30,TA92903URNf067ff16fcf8e045,3.0,-7.0,0.0,0.0,7.0,-0.0,1.3333333333333333,0.0,0.0,-1.3333333333333333,0.0
177,302,0,24/09/2014 11:01:31,TA92903URNf067ff16fcf8e045,1.0,21.0,0.0,0.0,21.0,0.0,28.0,0.0,0.0,14.0,0.0
199,302,0,24/09/2014 11:01:34,TA92903URNf067ff16fcf8e045,3.0,7.333333333333333,0.0,0.0,7.333333333333333,0.0,-4.555555555555556,0.0,0.0,-4.555555555555556,-0.0
156,302,0,24/09/2014 11:01:36,TA92903URNf067ff16fcf8e045,2.0,-21.5,0.0,0.0,21.5,-0.0,-14.416666666666666,0.0,0.0,7.083333333333334,-0.0
199,302,0,24/09/2014 11:01:37,TA92903URNf067ff16fcf8e045,1.0,43.0,0.0,0.0,43.0,0.0,64.5,0.0,0.0,21.5,0.0
177,302,0,24/09/2014 11:01:40,TA92903URNf067ff16fcf8e045,3.0,-7.333333333333333,0.0,0.0,7.333333333333333,-0.0,-16.77777777777778,0.0,0.0,-11.888888888888888,-0.0
177,302,0,24/09/2014 11:01:42,TA92903URNf067ff16fcf8e045,2.0,0.0,0.0,0.0,0.0,-0.0,3.6666666666666665,0.0,0.0,-3.6666666666666665,0.0
177,302,0,24/09/2014 11:01:44,TA92903URNf067ff16fcf8e045,2.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
242,302,0,24/09/2014 11:01:46,TA92903URNf067ff16fcf8e045,2.0,32.5,0.0,0.0,32.5,0.0,16.25,0.0,0.0,16.25,0.0
177,302,0,24/09/2014 11:01:48,TA92903URNf067ff16fcf8e045,2.0,-32.5,0.0,0.0,32.5,-0.0,-32.5,0.0,0.0,0.0,-0.0
242,302,0,24/09/2014 11:01:50,TA92903URNf067ff16fcf8e045,2.0,32.5,0.0,0.0,32.5,0.0,32.5,0.0,0.0,0.0,0.0
199,302,0,24/09/2014 11:01:52,TA92903URNf067ff16fcf8e045,2.0,-21.5,0.0,0.0,21.5,-0.0,-27.0,0.0,0.0,-5.5,-0.0
