X,Y,Z,Date And Time,Phone Id's
1010,347,0,26/09/2014 10:30:31,ZX1B23QBS53771758c578bbd85
1010,302,0,26/09/2014 10:30:38,ZX1B23QBS53771758c578bbd85
1010,302,0,26/09/2014 10:30:40,ZX1B23QBS53771758c578bbd85
199,364,0,26/09/2014 10:35:08,ZX1B23QFSP48abead89f52e3bb
274,320,0,26/09/2014 10:35:11,ZX1B23QFSP48abead89f52e3bb
242,302,0,26/09/2014 10:35:13,ZX1B23QFSP48abead89f52e3bb
274,347,0,26/09/2014 10:35:13,TA92903URNf067ff16fcf8e045
156,364,0,26/09/2014 10:35:14,ZX1B23QBS53771758c578bbd85
274,320,0,26/09/2014 10:35:15,ZX1B23QFSP48abead89f52e3bb
242,302,0,26/09/2014 10:35:16,ZX1B23QBS53771758c578bbd85
156,302,0,26/09/2014 10:35:16,TA92903URNf067ff16fcf8e045
274,320,0,26/09/2014 10:35:17,ZX1B23QFSP48abead89f52e3bb
307,320,0,26/09/2014 10:35:18,ZX1B23QBS53771758c578bbd85
199,364,0,26/09/2014 10:35:18,TA92903URNf067ff16fcf8e045
177,302,0,26/09/2014 10:35:19,YT910K6675876ded0861342065
242,302,0,26/09/2014 10:35:19,ZX1B23QFSP48abead89f52e3bb
242,302,0,26/09/2014 10:35:20,ZX1B23QBS53771758c578bbd85
156,364,0,26/09/2014 10:35:20,TA92903URNf067ff16fcf8e045
274,320,0,26/09/2014 10:35:21,ZX1B23QFSP48abead89f52e3bb
156,364,0,26/09/2014 10:35:22,TA92903URNf067ff16fcf8e045
242,302,0,26/09/2014 10:35:22,ZX1B23QBS53771758c578bbd85
242,302,0,26/09/2014 10:35:23,ZX1B23QFSP48abead89f52e3bb
156,364,0,26/09/2014 10:35:24,TA92903URNf067ff16fcf8e045
177,302,0,26/09/2014 10:35:25,ZX1B23QBS53771758c578bbd85
156,302,0,26/09/2014 10:35:25,ZX1B23QFSP48abead89f52e3bb
156,364,0,26/09/2014 10:35:26,TA92903URNf067ff16fcf8e045
242,302,0,26/09/2014 10:35:27,ZX1B23QBS53771758c578bbd85
242,302,0,26/09/2014 10:35:27,ZX1B23QFSP48abead89f52e3bb
221,347,0,26/09/2014 10:35:28,YT910K6675876ded0861342065
177,302,0,26/09/2014 10:35:28,ZX1B23QBS53771758c578bbd85
274,320,0,26/09/2014 10:35:29,ZX1B23QFSP48abead89f52e3bb
221,320,0,26/09/2014 10:35:30,ZX1B23QBS53771758c578bbd85
156,364,0,26/09/2014 10:35:30,TA92903URNf067ff16fcf8e045
307,320,0,26/09/2014 10:35:31,ZX1B23QFSP48abead89f52e3bb
156,364,0,26/09/2014 10:35:33,TA92903URNf067ff16fcf8e045
307,320,0,26/09/2014 10:35:33,ZX1B23QFSP48abead89f52e3bb
221,320,0,26/09/2014 10:35:33,ZX1B23QBS53771758c578bbd85
242,302,0,26/09/2014 10:35:35,ZX1B23QFSP48abead89f52e3bb
221,320,0,26/09/2014 10:35:35,ZX1B23QBS53771758c578bbd85
156,302,0,26/09/2014 10:35:35,YT910K6675876ded0861342065
156,302,0,26/09/2014 10:35:35,TA92903URNf067ff16fcf8e045
340,302,0,26/09/2014 10:35:37,ZX1B23QFSP48abead89f52e3bb
199,364,0,26/09/2014 10:35:37,TA92903URNf067ff16fcf8e045
340,302,0,26/09/2014 10:35:39,ZX1B23QFSP48abead89f52e3bb
199,364,0,26/09/2014 10:35:39,TA92903URNf067ff16fcf8e045
307,320,0,26/09/2014 10:35:41,ZX1B23QFSP48abead89f52e3bb
156,364,0,26/09/2014 10:35:41,ZX1B23QBS53771758c578bbd85
221,320,0,26/09/2014 10:35:41,TA92903URNf067ff16fcf8e045
307,320,0,26/09/2014 10:35:43,ZX1B23QFSP48abead89f52e3bb
199,302,0,26/09/2014 10:35:43,YT910K6675876ded0861342065
156,364,0,26/09/2014 10:35:43,ZX1B23QBS53771758c578bbd85
274,347,0,26/09/2014 10:35:43,TA92903URNf067ff16fcf8e045
340,320,0,26/09/2014 10:35:44,ZX1B23QFSP48abead89f52e3bb
156,364,0,26/09/2014 10:35:45,ZX1B23QBS53771758c578bbd85
307,302,0,26/09/2014 10:35:46,ZX1B23QFSP48abead89f52e3bb
156,364,0,26/09/2014 10:35:47,TA92903URNf067ff16fcf8e045
156,364,0,26/09/2014 10:35:47,ZX1B23QBS53771758c578bbd85
340,320,0,26/09/2014 10:35:48,ZX1B23QFSP48abead89f52e3bb
242,302,0,26/09/2014 10:35:49,TA92903URNf067ff16fcf8e045
122,320,0,26/09/2014 10:35:49,ZX1B23QBS53771758c578bbd85
274,302,0,26/09/2014 10:35:50,ZX1B23QFSP48abead89f52e3bb
177,302,0,26/09/2014 10:35:50,YT910K6675876ded0861342065
156,302,0,26/09/2014 10:35:51,TA92903URNf067ff16fcf8e045
122,320,0,26/09/2014 10:35:51,ZX1B23QBS53771758c578bbd85
242,302,0,26/09/2014 10:35:52,ZX1B23QFSP48abead89f52e3bb
199,364,0,26/09/2014 10:35:53,TA92903URNf067ff16fcf8e045
156,364,0,26/09/2014 10:35:54,ZX1B23QBS53771758c578bbd85
242,302,0,26/09/2014 10:35:54,ZX1B23QFSP48abead89f52e3bb
156,364,0,26/09/2014 10:35:55,TA92903URNf067ff16fcf8e045
122,320,0,26/09/2014 10:35:56,ZX1B23QBS53771758c578bbd85
242,302,0,26/09/2014 10:35:56,ZX1B23QFSP48abead89f52e3bb
199,364,0,26/09/2014 10:35:56,TA92903URNf067ff16fcf8e045
87,302,0,26/09/2014 10:35:58,ZX1B23QBS53771758c578bbd85
177,302,0,26/09/2014 10:35:58,YT910K6675876ded0861342065
340,320,0,26/09/2014 10:35:58,ZX1B23QFSP48abead89f52e3bb
