Path length vs. Time spent from (660, 2) to (693, 302)
Time spent (sec)
Path length (points/sec)
0.61111116,41.99472,1.0
4.5257144,82.44347,1.0
0.0,0.0,1.0
2.0,0.0,1.0
2.6400003,88.37115,1.0
1.3200002,48.08951,1.0
52.628975,193.64531,1.0
2.5384617,33.2701,1.0
0.0,0.0,1.0
0.7374303,37.53386,1.0
0.0,0.0,1.0
0.0,0.0,1.0
2.4423964,16.0,1.0
0.0,0.0,1.0
2.7287066,281.04977,1.0
0.3869581,68.18074,1.0
3.3233695,34.0,1.0
12.145299,17.0,1.0
0.14529915,17.0,1.0
17.635,17.0,1.0
0.67745405,63.218918,1.0
9.0,0.0,1.0
3.3055556,274.45926,1.0
31.152779,164.14731,1.0
0.14529915,17.0,1.0
0.0,0.0,1.0
0.34,17.0,1.0
0.17582418,16.0,1.0
2.0,0.0,1.0
4.244571,76.59353,1.0
9193.0,300.4813,1.0
2.0,0.0,1.0
0.4209658,85.30696,1.0
0.8403029,84.42064,1.0
0.8003283,80.7785,1.0
7.0,45.96738,1.0
1.1709844,37.48617,1.0
0.96004,131.05432,1.0
1.7922078,92.49522,1.0
0.0,0.0,1.0
1.7661783,77.17309,1.0
15.34059,271.17783,1.0
1.3156292,75.255356,1.0
1.9800001,80.56327,1.0
5.9086895,75.595146,1.0
0.45833337,76.254944,1.0
1.7914039,76.44143,1.0
2.5253344,383.0,1.0
7.0,0.0,1.0
0.41519013,80.10315,5.0
0.0,0.0,5.0
0.36263734,51.770847,5.0
0.23239437,44.11822,5.0
7.232394,50.063595,5.0
6.186969,44.793083,5.0
0.10410095,33.493015,5.0
1.0,0.0,5.0
2.0,0.0,5.0
7.171875,268.04703,5.0
0.171875,41.04467,5.0
32.0,0.0,5.0
2.969697,109.55747,5.0
1.5105833,117.86356,5.0
2.0,0.0,5.0
11.980935,91.19241,5.0
12.298173,83.0,5.0
0.29084325,138.3528,5.0
0.23465808,69.72123,5.0
0.18131867,50.11354,5.0
2.4714286,72.66371,5.0
0.0,0.0,5.0
1.2323943,79.34156,5.0
0.0,0.0,5.0
0.0,0.0,5.0
1.8956616,178.08757,5.0
0.14529915,17.0,5.0
4.0801945,33.0,5.0
4.242514,73.88441,5.0
0.0,0.0,5.0
1.1100163,80.882256,5.0
6.2481203,142.96738,5.0
0.0,0.0,5.0
1.1089109,36.352264,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.45833334,50.707493,5.0
2.7499998,40.528458,5.0
3.4483695,97.0,5.0
4.0,0.0,5.0
0.0,0.0,5.0
4.116197,50.063595,5.0
0.3626374,58.58951,5.0
5.0,0.0,5.0
1.0,0.0,5.0
1.0,0.0,5.0
2.0,0.0,5.0
0.18131867,51.770847,5.0
0.18181802,28.877602,5.0
9.807143,262.48245,5.0
0.49624062,33.0,5.0
4.3571424,41.64615,5.0
0.9364649,74.66073,5.0
2.0,0.0,5.0
1.130405,149.0,5.0
0.2487414,75.79018,5.0
2.3055556,50.707493,5.0
0.18181802,28.877602,5.0
0.39600003,38.758583,5.0
4.232394,83.06359,5.0
0.34859157,44.11822,5.0
2.9217877,37.53386,5.0
2.0859375,113.39825,5.0
0.45693168,87.512344,5.0
0.0,0.0,5.0
3.0,0.0,5.0
14.519999,33.40496,5.0
1.9800001,40.281635,5.0
3.30481,343.14124,5.0
0.0,0.0,5.0
0.0,0.0,5.0
3.0,79.20227,5.0
0.24842124,82.275406,5.0
25.0,53.89437,5.0
1.9065933,157.08128,5.0
0.60439557,111.593506,5.0
0.22029814,80.92961,5.0
0.0,0.0,5.0
0.12643678,33.295395,5.0
0.2975159,87.64933,5.0
0.116197184,44.11822,5.0
0.116197184,50.063595,5.0
1.0,0.0,5.0
6.116197,131.36261,5.0
2.0,0.0,5.0
0.0,0.0,5.0
8.3626375,54.61396,5.0
0.0,0.0,5.0
0.0,0.0,5.0
1.3200002,48.08951,5.0
0.0,0.0,5.0
0.0859375,33.087612,5.0
5.2470636,85.25207,5.0
0.28285718,39.74845,5.0
0.0,0.0,5.0
0.0,0.0,5.0
1.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
1.9753522,39.70409,5.0
0.2777775,14.743156,5.0
1.0676304,135.78784,5.0
0.4788346,87.64933,5.0
0.5689655,33.122395,5.0
0.6541471,88.06832,5.0
0.30555558,47.103153,5.0
0.20689654,35.91458,5.0
1.3200002,40.281635,5.0
0.28045323,44.793083,5.0
1.168159,83.162735,5.0
0.34,17.0,5.0
1.0089418,154.82762,5.0
1.4420764,145.92918,5.0
2.3413491,89.81891,5.0
5.380077,78.94106,5.0
7.1885715,123.77201,5.0
11.266161,282.96954,5.0
0.3800769,75.7772,5.0
0.27597594,75.7772,5.0
17.360447,367.59702,5.0
4.3604465,74.96956,5.0
21.34375,143.07684,5.0
1.34375,73.71642,5.0
6.34375,367.63254,5.0
0.2941394,77.21868,5.0
7.377143,181.99078,5.0
6.3967733,218.43039,5.0
0.0,0.0,5.0
21.360447,717.988,5.0
10.4296875,143.07684,5.0
0.34375,78.94284,5.0
2.3604465,79.21987,5.0
0.36044645,77.02035,5.0
32.318333,396.57074,5.0
2.491059,81.40411,5.0
26.513758,262.5008,5.0
0.0,0.0,5.0
0.81178063,66.87488,2.0
3.0,229.38614,2.0
0.0,0.0,2.0
4.2275863,48.05637,2.0
0.171875,41.04467,2.0
0.21236219,79.64752,2.0
0.0,0.0,2.0
0.97981495,99.99752,2.0
0.45517242,69.241585,2.0
0.0,0.0,2.0
0.0,0.0,2.0
2.0,32.0,2.0
1.0,33.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
1.5475863,73.52111,2.0
0.969697,16.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.2777775,14.743156,2.0
5.9400735,107.50596,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
6.0,0.0,2.0
6.3460894,126.973236,2.0
2.6796305,144.24226,2.0
0.51375747,90.72092,2.0
9.0,123.93476,2.0
4.6046057,141.88443,2.0
0.47142857,84.003204,2.0
2.3776522,109.09736,2.0
6.1885715,36.05316,2.0
0.0,0.0,2.0
0.72527474,54.61396,2.0
2.3626373,86.61396,2.0
0.0,0.0,2.0
2.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.49463737,89.8644,2.0
0.0,0.0,2.0
0.47220188,93.74107,2.0
0.0,0.0,2.0
0.52519894,74.967735,2.0
7.108911,116.622795,2.0
2.2323945,83.06359,2.0
2.3310344,70.0541,2.0
0.36263737,34.473923,2.0
0.9619839,133.0,2.0
0.5689655,33.947746,2.0
3.2692308,111.605736,2.0
6.0272417,145.0916,2.0
4.116197,95.22677,2.0
2.2323945,50.063595,3.0
5.9077415,78.558044,3.0
16.167786,61.62701,3.0
0.41371307,87.64933,3.0
0.9065934,77.118225,3.0
5.6665354,190.82509,3.0
0.0,0.0,3.0
25.396,178.21043,3.0
7.498084,116.517136,3.0
67.863556,117.90043,3.0
0.54395604,38.559113,3.0
1.6388407,73.75003,3.0
0.0,0.0,3.0
0.41666624,29.486313,3.0
0.18131869,54.61396,3.0
0.72527474,95.341095,3.0
0.85625887,79.41356,3.0
2.4722018,117.21191,3.0
15.528,221.69736,3.0
16.626637,108.35398,3.0
0.0,0.0,3.0
1.3200002,40.281635,3.0
4.0,0.0,3.0
0.132,39.038094,3.0
0.3801972,97.86582,3.0
4.0,0.0,3.0
1.0,17.0,3.0
0.66,150.19025,3.0
37.0,130.0,3.0
0.20689656,39.395325,3.0
0.0,0.0,3.0
0.36726367,74.57079,3.0
5.280531,227.67923,3.0
0.13888891,10.243939,3.0
2.543956,61.161133,3.0
71.54395,252.11354,3.0
0.969697,16.0,3.0
0.0,0.0,3.0
0.6907277,94.825714,3.0
2.7197802,77.118225,3.0
0.0,0.0,3.0
3.6407552,77.03804,3.0
4.0694447,94.20631,3.0
2.1202917,274.0,3.0
0.51541513,74.42774,3.0
0.20930232,33.0,3.0
2.3055556,116.54594,3.0
0.061452515,33.882244,3.0
0.72462183,50.0,3.0
0.35675675,33.0,3.0
3.4285715,107.891365,3.0
0.0,0.0,3.0
0.40568474,53.47535,3.0
6.1212263,89.38293,3.0
0.0,0.0,3.0
0.10891088,33.420074,3.0
1.275,17.0,3.0
2.0,0.0,3.0
0.0,0.0,3.0
0.85492224,38.634632,3.0
0.6839378,77.269264,3.0
0.0,0.0,3.0
0.0,0.0,3.0
4.0,0.0,3.0
0.2578125,82.08934,3.0
0.2578125,82.08934,3.0
234.58754,119.79248,3.0
0.264,47.802227,3.0
1.2083505,82.0,3.0
2.0,0.0,3.0
0.31230286,45.938843,3.0
1.2639999,80.80223,3.0
91.08594,399.79514,3.0
0.0,0.0,3.0
4.1229053,39.79794,3.0
0.0,0.0,3.0
0.0,0.0,3.0
2.0000005,8.416176E-5,3.0
3.59264E-7,8.416176E-5,3.0
1.2136506,113.32166,3.0
12.079212,221.02777,3.0
13.458333,41.99472,3.0
0.0,0.0,3.0
2.4413962,151.09926,3.0
1.5042015,93.126434,3.0
0.97058827,91.07913,3.0
8.53795,148.69475,3.0
0.0,0.0,3.0
0.27450892,74.96956,3.0
6.2578125,87.012054,3.0
0.0,0.0,3.0
0.846743,48.690903,3.0
6.3604465,74.96956,3.0
2.264,47.802227,3.0
1.6644295,52.955585,3.0
1.0,0.0,3.0
2.0,0.0,3.0
0.49025702,87.512344,3.0
0.36263734,51.770847,3.0
0.0,0.0,3.0
0.13360323,37.932262,3.0
0.0,0.0,3.0
8.026738,50.362865,3.0
0.555555,29.486313,3.0
0.45833334,59.491596,3.0
4.0,110.0,3.0
7.464789,83.771645,3.0
2.1089108,36.352264,3.0
39.0,33.0,3.0
0.0,0.0,3.0
13.494127,263.59372,3.0
6.2578125,189.66661,3.0
0.24581005,38.54131,3.0
0.113793105,34.620792,3.0
1.939394,32.0,3.0
0.68810105,66.0,3.0
0.26399997,43.958176,3.0
0.4848485,16.0,3.0
1.7142856,66.55426,3.0
0.0,0.0,3.0
0.0,0.0,3.0
1.2941177,91.07913,3.0
1.2941177,91.07913,3.0
3.2941177,91.07913,3.0
1.6388407,74.34614,3.0
4.98,40.281635,3.0
12.11236,33.0,3.0
0.0,0.0,3.0
0.054455444,35.952145,3.0
0.054455444,35.952145,3.0
0.0,0.0,3.0
0.0,33.0,3.0
0.113793105,72.45674,3.0
0.36363605,28.877602,3.0
1.0,57.0,3.0
2.0,0.0,3.0
3.0,263.71762,3.0
