Time still vs. Path length from (790, 343) to (1020, 364)
Path length (points/sec)
Time still (sec)
0.0,0.0,1.0
0.0,3.0,1.0
0.0,0.0,1.0
34.0,0.0,1.0
0.0,13.0,1.0
0.0,0.0,1.0
0.0,2.0,1.0
0.0,0.0,1.0
242.07437,0.0,1.0
118.511604,0.0,1.0
0.0,0.0,1.0
0.0,1.0,1.0
0.0,0.0,1.0
101.0,17.0,1.0
17.0,0.0,1.0
62.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
70.0928,0.0,1.0
161.98766,0.0,1.0
551.4818,0.0,1.0
522.4056,2.0,1.0
198.06616,0.0,1.0
62.0,2.0,1.0
0.0,0.0,1.0
118.511604,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
141.98944,0.0,1.0
0.0,0.0,1.0
242.07437,2.0,1.0
1017.77246,21.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
481.17877,0.0,1.0
102.4207,0.0,1.0
38.013157,0.0,1.0
0.0,5.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
671.44324,19.0,1.0
69.12308,13.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,3.0,1.0
185.5116,0.0,1.0
34.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,0.0,1.0
0.0,4.0,1.0
118.511665,3.0,1.0
0.0,0.0,1.0
0.0,7.0,1.0
404.0,0.0,1.0
0.0,13.0,1.0
0.0,0.0,1.0
1756.9868,0.0,5.0
430.8503,13.0,5.0
0.0,0.0,5.0
0.0,6.0,5.0
409.84998,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
209.38959,2.0,5.0
1713.679,0.0,5.0
0.0,0.0,5.0
33.0,2.0,5.0
203.25398,0.0,5.0
135.07405,7.0,5.0
70.0928,0.0,5.0
265.27722,7.0,5.0
742.47076,0.0,5.0
541.267,0.0,5.0
33.0,8.0,5.0
0.0,0.0,5.0
724.33765,3.0,5.0
265.27722,0.0,5.0
430.8503,0.0,5.0
1752.685,2.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
778.27026,0.0,5.0
2689.6458,0.0,5.0
0.0,0.0,5.0
1176.7657,0.0,5.0
70.23532,0.0,5.0
209.38959,0.0,5.0
1726.2648,0.0,5.0
0.0,0.0,5.0
1171.514,0.0,5.0
0.0,0.0,5.0
70.71068,0.0,5.0
2075.6182,3.0,5.0
44.0,0.0,5.0
850.73303,0.0,5.0
1799.8945,0.0,5.0
0.0,0.0,5.0
1235.6375,0.0,5.0
38.013157,0.0,5.0
1132.5145,0.0,5.0
1009.4914,0.0,5.0
1573.3851,0.0,5.0
1363.0809,0.0,5.0
1883.1016,0.0,5.0
0.0,0.0,5.0
238.9335,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
1075.0681,0.0,2.0
575.35077,0.0,2.0
0.0,0.0,2.0
38.013157,0.0,2.0
569.2539,0.0,2.0
38.013157,0.0,2.0
1260.082,0.0,2.0
571.69574,0.0,2.0
1201.3838,0.0,2.0
1207.2117,0.0,2.0
901.4566,3.0,2.0
37.12142,0.0,2.0
0.0,0.0,2.0
1614.9073,0.0,2.0
68.154236,0.0,2.0
1709.7584,0.0,2.0
1144.8728,0.0,2.0
722.6645,0.0,2.0
515.74023,0.0,2.0
1193.1963,0.0,3.0
147.64822,8.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
