Time still vs. Time spent from (560, 302) to (790, 323)
Time spent (sec)
Time still (sec)
0.121211655,0.0,1.0
0.36363375,0.0,1.0
0.30302894,0.0,1.0
1.2199763,1.0,1.0
11.098764,11.0,1.0
28.068304,5.0,1.0
10.908241,0.0,1.0
2.9999986,2.0,1.0
14.060606,0.0,1.0
1.6981136,0.0,1.0
5.9483094,0.0,1.0
2.6036034,0.0,1.0
0.20568344,0.0,1.0
2.602562,0.0,1.0
1.2518507,0.0,1.0
2.2962935,0.0,1.0
2.1018045,0.0,1.0
0.7499997,0.0,1.0
4.2962933,0.0,1.0
9.152024,2.0,1.0
0.38410595,0.0,1.0
5.999998,2.0,1.0
3.0,3.0,1.0
0.0,0.0,1.0
12.0,12.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
15.0,15.0,1.0
12.503755,9.0,1.0
2.7861576,0.0,1.0
27.49905,0.0,1.0
5.0,5.0,1.0
3.6666613,0.0,1.0
9.435482,0.0,1.0
5.275414,0.0,1.0
3.333332,0.0,1.0
3.3583155,0.0,1.0
1.9907746,0.0,1.0
0.69166666,0.0,1.0
5.399835,2.0,1.0
0.0,0.0,1.0
1.4529222,0.0,1.0
13.362776,9.0,1.0
10.022196,0.0,1.0
5.821782,0.0,1.0
0.0,0.0,1.0
2.044443,0.0,1.0
5.760012,0.0,1.0
1.7027067,0.0,1.0
1.1560893,0.0,1.0
2.3302429,0.0,1.0
5.4910936,0.0,1.0
2.108604,0.0,1.0
3.648855,2.0,1.0
1.982188,0.0,1.0
3.9999988,0.0,1.0
0.41750458,0.0,1.0
0.46055436,0.0,1.0
15.631012,0.0,1.0
5.692968,0.0,1.0
5.098764,2.0,1.0
1.0193135,0.0,1.0
49.82178,47.0,1.0
5.1259246,4.0,1.0
0.2962946,0.0,1.0
0.6612521,0.0,1.0
5.333333,0.0,1.0
6.0125775,3.0,1.0
3.2252402,0.0,1.0
0.121212065,0.0,1.0
0.66666585,0.0,1.0
0.0,0.0,1.0
7.0,0.0,1.0
0.0,0.0,1.0
11.0,2.0,1.0
18.535345,6.0,1.0
4.134534,2.0,1.0
4.125925,0.0,1.0
7.6833553,1.0,1.0
6.1691775,0.0,1.0
9.821782,1.0,1.0
2.0646763,0.0,1.0
3.0442889,0.0,1.0
5.333332,1.0,1.0
2.181816,2.0,1.0
10.629627,7.0,1.0
1.8189524,1.0,1.0
4.2697225,0.0,5.0
9.72399,8.0,5.0
0.83726,0.0,5.0
3.4014714,0.0,5.0
9.999997,8.0,5.0
1.7239907,0.0,5.0
2.7520149,0.0,5.0
2.5306122,0.0,5.0
22.513514,18.0,5.0
3.287129,0.0,5.0
5.643564,0.0,5.0
0.121212065,0.0,5.0
8.238717,0.0,5.0
3.0231295,1.0,5.0
0.91851807,0.0,5.0
3.486286,0.0,5.0
2.7878773,0.0,5.0
4.63355,0.0,5.0
3.765304,0.0,5.0
1.5089935,0.0,5.0
5.313139,0.0,5.0
4.61859,2.0,5.0
2.1490026,0.0,5.0
0.31874058,0.0,5.0
4.524802,2.0,5.0
2.666666,0.0,5.0
5.365974,0.0,5.0
2.3030288,0.0,5.0
2.1975312,0.0,5.0
2.3102303,0.0,5.0
2.0,2.0,5.0
0.2952381,0.0,5.0
9.633513,0.0,5.0
10.19753,6.0,5.0
8.065868,5.0,5.0
11.999999,11.0,5.0
14.049335,0.0,5.0
0.0,0.0,5.0
14.809809,3.0,5.0
0.68924105,0.0,5.0
0.12121121,0.0,5.0
1.0980393,0.0,5.0
0.2962946,0.0,5.0
4.0954895,0.0,5.0
7.513512,5.0,5.0
3.9928248,0.0,5.0
2.2424228,2.0,5.0
6.5925865,2.0,5.0
2.2962947,2.0,5.0
2.172227,0.0,5.0
21.327595,14.0,5.0
4.6488547,3.0,5.0
8.199373,6.0,5.0
7.9801617,2.0,5.0
1.4628341,0.0,5.0
5.1801796,3.0,5.0
8.787876,3.0,5.0
4.007767,0.0,5.0
0.19752973,0.0,5.0
3.2653062,0.0,5.0
1.6470588,0.0,5.0
21.513514,2.0,5.0
5.332278,2.0,5.0
7.1801796,5.0,5.0
1.0027245,0.0,5.0
4.098039,3.0,5.0
6.2192507,0.0,5.0
2.0444434,0.0,5.0
0.09876562,0.0,5.0
1.709461,0.0,5.0
33.421978,16.0,5.0
5.487976,2.0,5.0
10.535576,6.0,5.0
0.0,0.0,5.0
1.9673645,0.0,5.0
7.6666665,2.0,5.0
3.758996,0.0,5.0
9.560306,0.0,5.0
2.4320316,0.0,5.0
0.31874138,0.0,5.0
0.9999992,0.0,5.0
1.333332,0.0,5.0
1.7239907,0.0,5.0
2.156321,0.0,5.0
3.9402742,0.0,5.0
5.7372656,4.0,5.0
1.7313433,0.0,5.0
0.827091,0.0,5.0
6.19753,0.0,5.0
0.92640644,0.0,5.0
2.4320316,0.0,5.0
2.062533,0.0,5.0
1.2868217,0.0,5.0
2.121212,2.0,5.0
194.07692,0.0,5.0
3.1311047,0.0,5.0
3.9954975,0.0,5.0
2.666666,0.0,5.0
0.965986,0.0,5.0
0.09876487,0.0,5.0
0.19752993,0.0,5.0
5.558024,3.0,5.0
5.8555217,2.0,5.0
1.5135134,0.0,5.0
2.172227,0.0,5.0
6.432031,0.0,5.0
2.2962952,0.0,5.0
7.586559,2.0,5.0
4.9975915,2.0,5.0
14.575307,7.0,5.0
1.8361703,0.0,5.0
2.0987644,2.0,5.0
2.7133758,0.0,5.0
9.722169,2.0,5.0
27.830448,6.0,5.0
2.3441465,0.0,5.0
0.121211484,0.0,5.0
1.8370361,0.0,5.0
3.8461537,2.0,5.0
2.7250464,0.0,5.0
10.296294,1.0,5.0
1.9763234,0.0,5.0
26.175844,0.0,5.0
0.71898067,0.0,5.0
5.9282784,0.0,5.0
2.0,2.0,5.0
2.7008893,0.0,5.0
2.2160158,1.0,5.0
8.755553,7.0,5.0
1.6435645,0.0,5.0
4.350445,3.0,5.0
0.0,0.0,5.0
2.5790884,2.0,5.0
21.936537,14.0,5.0
10.7783785,10.0,5.0
15.723713,4.0,5.0
5.9534874,2.0,5.0
4.8795805,0.0,5.0
12.573644,2.0,5.0
9.159849,4.0,5.0
29.761614,0.0,5.0
14.76543,6.0,5.0
1.7800565,0.0,5.0
1.8370361,0.0,5.0
6.116048,0.0,5.0
1.7800565,0.0,5.0
3.8877184,0.0,5.0
18.432243,5.0,5.0
1.9595776,0.0,5.0
2.8615384,0.0,5.0
1.892856,0.0,5.0
0.24242303,0.0,5.0
0.121212065,0.0,5.0
2.4320316,0.0,5.0
5.098765,0.0,5.0
5.1442523,0.0,5.0
7.104899,2.0,5.0
0.82178223,0.0,5.0
2.520953,0.0,5.0
0.80139774,0.0,5.0
3.9548721,0.0,5.0
8.918517,2.0,5.0
7.77654,3.0,5.0
430.21033,0.0,5.0
8.918518,6.0,5.0
3.982364,0.0,5.0
2.335231,0.0,5.0
7.4320316,5.0,5.0
2.3187404,0.0,5.0
0.39505947,0.0,5.0
9.918517,0.0,5.0
1.5468446,0.0,5.0
1.4545441,0.0,5.0
0.060605828,0.0,5.0
11.643564,3.0,5.0
4.9185176,2.0,5.0
3.7110431,0.0,5.0
4.1990047,3.0,5.0
50.313183,1.0,5.0
2.7986796,0.0,5.0
0.0,0.0,5.0
2.3163538,0.0,5.0
4.25977,3.0,5.0
3.7567568,0.0,5.0
2.7567568,1.0,5.0
1.6752748,0.0,5.0
0.19752973,0.0,5.0
2.3980093,0.0,5.0
8.585184,3.0,5.0
6.918518,4.0,5.0
3.8693378,0.0,5.0
1.377026,0.0,5.0
6.092545,0.0,5.0
15.846846,6.0,5.0
5.0052147,0.0,5.0
1.5925893,1.0,5.0
1.9758435,0.0,5.0
3.5226715,0.0,5.0
4.1838236,2.0,5.0
3.1160479,0.0,5.0
4.03973,0.0,5.0
8.364112,6.0,5.0
7.281041,2.0,5.0
1.1577604,0.0,5.0
4.467532,0.0,5.0
3.486286,0.0,5.0
3.9185178,2.0,5.0
1.465193,0.0,5.0
3.2962947,1.0,5.0
1.9727725,0.0,5.0
0.836474,0.0,5.0
