Time still vs. Total angle changed from (560, 302) to (790, 323)
Total angle changed (radians)
Time still (sec)
1.5707964,0.0,1.0
0.64684534,0.0,1.0
0.8823985,0.0,1.0
1.2467574,1.0,1.0
0.018453134,11.0,1.0
0.26967925,5.0,1.0
0.11060326,0.0,1.0
0.52639234,2.0,1.0
3.3893054,0.0,1.0
0.0,0.0,1.0
0.58898056,0.0,1.0
1.3986887,0.0,1.0
1.0714496,0.0,1.0
0.14385912,0.0,1.0
0.78233385,0.0,1.0
0.3208272,0.0,1.0
0.0,0.0,1.0
0.39753518,0.0,1.0
0.58683264,0.0,1.0
0.31542152,2.0,1.0
0.16754395,0.0,1.0
1.5297004,2.0,1.0
0.0,3.0,1.0
0.0,0.0,1.0
0.1669108,12.0,1.0
0.1669108,0.0,1.0
0.22734381,0.0,1.0
0.1669108,15.0,1.0
0.67738646,9.0,1.0
0.22310773,0.0,1.0
0.004443521,0.0,1.0
1.3896484,5.0,1.0
0.25900578,0.0,1.0
0.66998243,0.0,1.0
2.4772432,0.0,1.0
0.59788495,0.0,1.0
0.1663863,0.0,1.0
0.11065722,0.0,1.0
0.07485985,0.0,1.0
0.11060326,2.0,1.0
1.6625928,0.0,1.0
0.0,0.0,1.0
0.47857264,9.0,1.0
0.36168614,0.0,1.0
2.9652264,0.0,1.0
0.0,0.0,1.0
0.26533422,0.0,1.0
0.93804747,0.0,1.0
2.2142975,0.0,1.0
0.57157826,0.0,1.0
0.0,0.0,1.0
2.909226,0.0,1.0
0.037726417,0.0,1.0
0.0,2.0,1.0
0.16377221,0.0,1.0
0.43093386,0.0,1.0
1.675211,0.0,1.0
0.038360704,0.0,1.0
0.0,0.0,1.0
2.429235,0.0,1.0
0.2573818,2.0,1.0
0.7853982,0.0,1.0
1.82812,47.0,1.0
2.116963,4.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
4.939831,0.0,1.0
4.931943,3.0,1.0
1.4810381,0.0,1.0
0.0,0.0,1.0
0.32125378,0.0,1.0
0.0,0.0,1.0
1.2306255,0.0,1.0
0.0,0.0,1.0
0.193984,2.0,1.0
4.0000315,6.0,1.0
1.8094057,2.0,1.0
5.44037,0.0,1.0
1.8800938,1.0,1.0
0.0,0.0,1.0
10.600783,1.0,1.0
0.23198916,0.0,1.0
2.206382,0.0,1.0
4.712389,1.0,1.0
0.6916994,2.0,1.0
0.58683264,7.0,1.0
0.29083258,1.0,1.0
1.3877788E-17,0.0,5.0
0.33387262,8.0,5.0
0.2652071,0.0,5.0
0.02448847,0.0,5.0
0.0,8.0,5.0
0.33387262,0.0,5.0
0.037726417,0.0,5.0
0.0,0.0,5.0
1.0094367,18.0,5.0
0.0,0.0,5.0
3.6768868,0.0,5.0
0.5921867,0.0,5.0
1.7942729,0.0,5.0
0.75225013,1.0,5.0
3.1415927,0.0,5.0
1.332187,0.0,5.0
2.7428396,0.0,5.0
1.3325989,0.0,5.0
1.5707964,0.0,5.0
1.233476,0.0,5.0
0.33091536,0.0,5.0
0.004443521,2.0,5.0
0.006958992,0.0,5.0
1.2467574,0.0,5.0
1.2657484,2.0,5.0
1.9662977,0.0,5.0
1.5707964,0.0,5.0
2.3021474,0.0,5.0
0.6857295,0.0,5.0
0.27165774,0.0,5.0
0.0,2.0,5.0
0.0,0.0,5.0
1.7135254,0.0,5.0
2.0718868,6.0,5.0
0.38831872,5.0,5.0
0.30060568,11.0,5.0
0.35276058,0.0,5.0
0.0,0.0,5.0
2.580233,3.0,5.0
0.82384074,0.0,5.0
0.5191461,0.0,5.0
0.0,0.0,5.0
0.82384074,0.0,5.0
3.1708868,0.0,5.0
0.30755726,5.0,5.0
0.19879568,0.0,5.0
0.015810583,2.0,5.0
0.9272952,2.0,5.0
0.82384074,2.0,5.0
0.06221489,0.0,5.0
1.1235881,14.0,5.0
0.0,3.0,5.0
0.41450688,6.0,5.0
2.5199108,2.0,5.0
0.55380666,0.0,5.0
0.94890285,3.0,5.0
2.6922283,3.0,5.0
0.82168585,0.0,5.0
0.82384074,0.0,5.0
2.7895484,0.0,5.0
0.0,0.0,5.0
12.604607,2.0,5.0
0.06221489,2.0,5.0
0.94890285,5.0,5.0
0.82384074,0.0,5.0
0.0,3.0,5.0
4.537717,0.0,5.0
2.7583084,0.0,5.0
0.7853982,0.0,5.0
0.85843873,0.0,5.0
1.1221644,16.0,5.0
1.1861016,2.0,5.0
0.59065366,6.0,5.0
0.0,0.0,5.0
0.5880026,0.0,5.0
3.895751,2.0,5.0
0.06198944,0.0,5.0
1.0928828,0.0,5.0
1.332187,0.0,5.0
0.7469556,0.0,5.0
0.0,0.0,5.0
0.42486963,0.0,5.0
0.33387262,0.0,5.0
0.9589537,0.0,5.0
0.009711537,0.0,5.0
0.31447202,4.0,5.0
0.24154077,0.0,5.0
0.0,0.0,5.0
2.0718868,0.0,5.0
1.5707964,0.0,5.0
1.332187,0.0,5.0
0.06393712,0.0,5.0
0.041123934,0.0,5.0
0.85843873,2.0,5.0
0.118670546,0.0,5.0
0.17809294,0.0,5.0
0.42285392,0.0,5.0
0.0,0.0,5.0
0.32585618,0.0,5.0
0.82384074,0.0,5.0
2.394637,0.0,5.0
3.8885481,3.0,5.0
2.580233,2.0,5.0
0.0,0.0,5.0
0.06221489,0.0,5.0
2.1120908,0.0,5.0
3.1415927,0.0,5.0
4.1763973,2.0,5.0
0.0,2.0,5.0
2.394637,7.0,5.0
0.30938414,0.0,5.0
0.16820677,2.0,5.0
0.9689054,0.0,5.0
0.48971492,2.0,5.0
1.5707964,6.0,5.0
0.02448847,0.0,5.0
1.0541012,0.0,5.0
3.1415927,0.0,5.0
0.0,2.0,5.0
0.0,0.0,5.0
1.9480991,1.0,5.0
0.05475875,0.0,5.0
0.37356865,0.0,5.0
0.940026,0.0,5.0
2.806795,0.0,5.0
1.332187,2.0,5.0
0.06221489,0.0,5.0
1.8094057,1.0,5.0
3.6426833,7.0,5.0
0.85401064,0.0,5.0
0.17636615,3.0,5.0
0.09986575,0.0,5.0
0.31447202,2.0,5.0
1.4563164,14.0,5.0
0.16272737,10.0,5.0
4.296531,4.0,5.0
1.1595829,2.0,5.0
0.037726417,0.0,5.0
1.3866858,2.0,5.0
0.04474623,4.0,5.0
1.0209432,0.0,5.0
5.9653807,6.0,5.0
1.4332095,0.0,5.0
3.1415927,0.0,5.0
9.925868,0.0,5.0
1.5707964,0.0,5.0
1.0209432,0.0,5.0
7.1665416,5.0,5.0
0.037085462,0.0,5.0
