Total angle changed vs. Average speed from (560, 302) to (790, 323)
Average speed (points/sec)
Total angle changed (radians)
22.0,1.5707964,1.0
26.948645,0.64684534,1.0
48.778828,0.8823985,1.0
8.661069,1.2467574,1.0
4.9446025,0.018453134,1.0
1.8230679,0.26967925,1.0
17.097132,0.11060326,1.0
36.639477,0.52639234,1.0
10.989818,3.3893054,1.0
29.145153,0.0,1.0
7.3283,0.58898056,1.0
30.793549,1.3986887,1.0
48.800964,1.0714496,1.0
163.74466,0.14385912,1.0
89.21176,0.78233385,1.0
23.601269,0.3208272,1.0
96.21385,0.0,1.0
133.44463,0.39753518,1.0
35.371815,0.58683264,1.0
68.61854,0.31542152,1.0
302.53595,0.16754395,1.0
11.853389,1.5297004,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.1669108,1.0
0.0,0.1669108,1.0
0.0,0.22734381,1.0
0.0,0.1669108,1.0
35.120056,0.67738646,1.0
83.42994,0.22310773,1.0
28.06903,0.004443521,1.0
0.0,1.3896484,1.0
22.006762,0.25900578,1.0
34.291176,0.66998243,1.0
16.871822,2.4772432,1.0
74.26948,0.59788495,1.0
69.112335,0.1663863,1.0
116.89613,0.11065722,1.0
240.33702,0.07485985,1.0
61.10111,0.11060326,1.0
0.0,1.6625928,1.0
263.46225,0.0,1.0
36.277863,0.47857264,1.0
113.19579,0.36168614,1.0
29.081783,2.9652264,1.0
0.0,0.0,1.0
38.783546,0.26533422,1.0
91.06693,0.93804747,1.0
59.341564,2.2142975,1.0
75.906624,0.57157826,1.0
185.3884,0.0,1.0
58.958244,2.909226,1.0
79.72665,0.037726417,1.0
118.672386,0.0,1.0
154.5032,0.16377221,1.0
62.90554,0.43093386,1.0
17.841293,1.675211,1.0
469.34528,0.038360704,1.0
131.89832,0.0,1.0
280.4792,2.429235,1.0
29.227802,0.2573818,1.0
85.127144,0.7853982,1.0
2.0272257,1.82812,1.0
11.793956,2.116963,1.0
24.531158,0.0,1.0
53.34375,0.0,1.0
13.6375265,4.939831,1.0
11.979971,4.931943,1.0
7.332262,1.4810381,1.0
58.137768,0.0,1.0
47.13014,0.32125378,1.0
0.0,0.0,1.0
4.400835,1.2306255,1.0
0.0,0.0,1.0
33.795204,0.193984,1.0
36.161713,4.0000315,1.0
18.937935,1.8094057,1.0
28.799643,5.44037,1.0
22.73115,1.8800938,1.0
101.819374,0.0,1.0
17.252466,10.600783,1.0
84.69195,0.23198916,1.0
78.23226,2.206382,1.0
7.2499995,4.712389,1.0
5.219972,0.6916994,1.0
14.296615,0.58683264,1.0
191.57089,0.29083258,1.0
143.14574,1.3877788E-17,5.0
13.497778,0.33387262,5.0
150.69841,0.2652071,5.0
49.198658,0.02448847,5.0
9.541712,0.0,5.0
76.13281,0.33387262,5.0
61.086853,0.037726417,5.0
26.100767,0.0,5.0
3.9282506,1.0094367,5.0
51.29571,0.0,5.0
41.67801,3.6768868,5.0
29.068884,0.5921867,5.0
255.03375,1.7942729,5.0
137.37509,0.75225013,5.0
45.0,3.1415927,5.0
22.459297,1.332187,5.0
44.42314,2.7428396,5.0
237.25752,1.3325989,5.0
28.233088,1.5707964,5.0
36.510426,1.233476,5.0
81.69403,0.33091536,5.0
93.674355,0.004443521,5.0
201.22607,0.006958992,5.0
33.15015,1.2467574,5.0
36.137474,1.2657484,5.0
26.555195,1.9662977,5.0
46.472923,1.5707964,5.0
14.70797,2.3021474,5.0
62.990543,0.6857295,5.0
57.14424,0.27165774,5.0
0.0,0.0,5.0
105.0,0.0,5.0
23.235737,1.7135254,5.0
6.3982077,2.0718868,5.0
27.652672,0.38831872,5.0
5.8163743,0.30060568,5.0
64.2949,0.35276058,5.0
0.0,0.0,5.0
11.999957,2.580233,5.0
50.249798,0.82384074,5.0
44.34242,0.5191461,5.0
51.0,0.0,5.0
12.265579,0.82384074,5.0
16.236877,3.1708868,5.0
12.966126,0.30755726,5.0
227.86537,0.19879568,5.0
15.107701,0.015810583,5.0
8.359547,0.9272952,5.0
1.5826476,0.82384074,5.0
77.27164,0.06221489,5.0
10.774223,1.1235881,5.0
46.463055,0.0,5.0
57.52961,0.41450688,5.0
46.96032,2.5199108,5.0
31.672935,0.55380666,5.0
15.427339,0.94890285,5.0
7.168262,2.6922283,5.0
162.59355,0.82168585,5.0
18.398369,0.82384074,5.0
15.626547,2.7895484,5.0
34.0,0.0,5.0
12.981531,12.604607,5.0
43.815937,0.06221489,5.0
11.130137,0.94890285,5.0
34.54012,0.82384074,5.0
13.6650715,0.0,5.0
20.313988,4.537717,5.0
21.008245,2.7583084,5.0
38.183765,0.7853982,5.0
128.4168,0.85843873,5.0
12.362761,1.1221644,5.0
21.659924,1.1861016,5.0
10.977884,0.59065366,5.0
0.0,0.0,5.0
112.23509,0.5880026,5.0
6.2849493,3.895751,5.0
225.17068,0.06198944,5.0
70.274605,1.0928828,5.0
32.195114,1.332187,5.0
19.768005,0.7469556,5.0
44.567055,0.0,5.0
56.01138,0.42486963,5.0
76.13281,0.33387262,5.0
111.60453,0.9589537,5.0
150.03738,0.009711537,5.0
37.69241,0.31447202,5.0
67.601776,0.24154077,5.0
31.407923,0.0,5.0
10.527729,2.0718868,5.0
36.34113,1.5707964,5.0
32.195114,1.332187,5.0
55.51337,0.06393712,5.0
65.12488,0.041123934,5.0
1.6610783,0.85843873,5.0
0.6019346,0.118670546,5.0
220.05014,0.17809294,5.0
89.70219,0.42285392,5.0
97.02709,0.0,5.0
68.30145,0.32585618,5.0
36.796738,0.82384074,5.0
31.898365,2.394637,5.0
12.108779,3.8885481,5.0
19.828358,2.580233,5.0
76.15773,0.0,5.0
77.27164,0.06221489,5.0
25.415953,2.1120908,5.0
18.0,3.1415927,5.0
31.480848,4.1763973,5.0
81.84053,0.0,5.0
8.007956,2.394637,5.0
81.812355,0.30938414,5.0
7.589398,0.16820677,5.0
32.822857,0.9689054,5.0
65.60914,0.48971492,5.0
33.624603,1.5707964,5.0
71.38966,0.02448847,5.0
25.303162,1.0541012,5.0
22.5,3.1415927,5.0
56.16,0.0,5.0
136.9951,0.0,5.0
14.41827,1.9480991,5.0
57.982826,0.05475875,5.0
3.489626,0.37356865,5.0
52.22856,0.940026,5.0
141.30602,2.806795,5.0
39.149765,1.332187,5.0
62.146763,0.06221489,5.0
35.333473,1.8094057,5.0
6.2939167,3.6426833,5.0
65.95974,0.85401064,5.0
38.457634,0.17636615,5.0
0.0,0.09986575,5.0
83.847984,0.31447202,5.0
21.096125,1.4563164,5.0
20.040121,0.16272737,5.0
8.847407,4.296531,5.0
40.4878,1.1595829,5.0
44.233707,0.037726417,5.0
16.16251,1.3866858,5.0
47.185974,0.04474623,5.0
33.778606,1.0209432,5.0
16.111423,5.9653807,5.0
43.369923,1.4332095,5.0
22.5,3.1415927,5.0
14.896339,9.925868,5.0
43.069786,1.5707964,5.0
61.79447,1.0209432,5.0
22.438524,7.1665416,5.0
57.86938,0.037085462,5.0
30.522078,1.1104593,5.0
115.90029,0.19963148,5.0
60.973564,0.8823985,5.0
29.068884,0.85843873,5.0
32.195114,1.8094057,5.0
9.348667,1.5707964,5.0
