Total angle changed vs. Path length from (100, 302) to (330, 323)
Path length (points/sec)
Total angle changed (radians)
145.22934,0.45525286,1.0
160.22894,0.16076843,1.0
115.99922,0.0,1.0
128.10815,0.7986986,1.0
70.10854,2.0051637,1.0
57.99961,1.9351276,1.0
0.0,1.578315,1.0
0.0,0.0,1.0
0.0,1.7454685,1.0
0.0,0.29649407,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
58.116436,0.35060045,1.0
43.0,2.5352097,1.0
47.539455,2.2168632,1.0
0.0,0.0,1.0
102.22933,0.76085055,1.0
0.0,0.29649407,1.0
0.0,0.0,1.0
44.576565,1.2140925,1.0
64.89263,0.20257686,1.0
36.30765,0.9652517,1.0
47.539455,1.974937,1.0
0.0,0.76974183,1.0
0.0,0.21273178,1.0
122.71512,1.7254806,1.0
42.0,2.5352097,1.0
21.0,1.2442149,1.0
0.0,1.2442149,1.0
0.0,0.0,1.0
0.0,0.19739556,1.0
0.0,0.0,1.0
28.904156,1.6417897,1.0
0.0,2.3028102,1.0
100.99961,1.3287448,1.0
64.04814,1.2929666,1.0
0.0,0.0,1.0
21.0,0.96441346,1.0
0.0,0.19739556,1.0
0.0,1.0568767,1.0
0.0,3.1415927,1.0
362.15894,2.3565953,1.0
66.0,0.88242376,1.0
53.0,1.7454685,1.0
159.0,0.43838403,1.0
0.0,0.6590619,1.0
0.0,0.02000704,1.0
0.0,0.04462162,1.0
148.0,1.2160584,1.0
119.0,0.70523006,1.0
53.0,1.2520715,1.0
0.0,0.0,1.0
0.0,1.426642,1.0
0.0,0.0,1.0
127.22421,0.88242376,1.0
172.0,0.3493444,1.0
0.0,0.0,1.0
43.195015,0.76974183,1.0
0.0,1.7263244,1.0
0.0,0.8559837,1.0
0.0,0.101536416,1.0
0.0,0.013739565,1.0
0.0,0.057776242,1.0
0.0,0.038216252,1.0
0.0,0.0,1.0
221.59431,0.07006321,1.0
128.42929,0.16162136,1.0
0.0,0.03364527,1.0
0.0,0.7699528,1.0
53.0,0.7348781,1.0
33.0,0.8549807,1.0
0.0,0.52616316,1.0
0.0,1.2442149,1.0
132.0,0.87529606,1.0
178.0,1.8474448,1.0
0.0,0.45933768,1.0
165.0,0.43950975,1.0
0.0,0.17034529,1.0
0.0,0.0,1.0
0.0,0.21273178,1.0
0.0,0.03693388,1.0
0.0,0.21273178,1.0
0.0,0.20944317,1.0
0.0,0.008071654,1.0
0.0,0.011844389,1.0
0.0,0.011844389,1.0
251.97945,0.41108543,1.0
0.0,0.061602574,1.0
0.0,0.00921369,1.0
0.0,0.084049195,1.0
0.0,0.084049195,1.0
0.0,0.071605444,1.0
0.0,0.0,1.0
0.0,0.08522967,1.0
148.0,0.09442284,1.0
0.0,0.0,1.0
0.0,0.17579791,1.0
0.0,0.0070549455,1.0
33.0,1.7835281,1.0
149.97183,0.599716,1.0
0.0,0.0,1.0
0.0,0.0,1.0
102.22933,0.76085055,1.0
23.004255,1.2754287,1.0
0.0,0.0,1.0
495.0,0.6343624,1.0
0.0,0.64776045,1.0
0.0,1.544203,1.0
55.0,2.8150113,1.0
63.0,1.2665879,1.0
99.886604,0.0,1.0
124.863304,1.3255152,1.0
323.12613,1.4528205,1.0
0.0,1.5707964,1.0
0.0,0.8779168,1.0
106.0,0.81955606,1.0
0.0,0.08302924,1.0
18.0,2.8336935,1.0
243.07434,1.5865206,1.0
399.00192,2.3528845,1.0
46.00851,0.0,1.0
28.904156,2.0408485,1.0
0.0,0.0,1.0
0.0,1.2442149,1.0
0.0,0.0,1.0
99.440186,0.4252861,1.0
117.42534,6.710264,1.0
36.0,6.0057216,1.0
37.589893,1.4980402,1.0
0.0,0.38307706,1.0
0.0,0.0316239,1.0
0.0,0.0663018,1.0
466.60358,2.2401924,5.0
126.38843,0.9703149,5.0
18.0,3.3543243,5.0
0.0,0.26625204,5.0
0.0,0.13863973,5.0
86.0,0.14301687,5.0
0.0,0.5911846,5.0
85.895615,0.1190122,5.0
82.53494,0.12268234,5.0
0.0,0.0,5.0
0.0,0.08690145,5.0
40.998413,0.0,5.0
163.43358,0.38204485,5.0
44.1818,0.66104317,5.0
0.0,0.050632365,5.0
0.0,0.0,5.0
208.06207,0.33717874,5.0
0.0,0.0,5.0
129.0,0.19739556,5.0
481.1185,0.9940292,5.0
86.0,1.5707964,5.0
22.0,1.1256275,5.0
53.0,0.1746722,5.0
105.43024,1.1305802,5.0
267.90182,2.2480772,5.0
0.0,0.0,5.0
0.0,0.18164884,5.0
0.0,0.274054,5.0
32.0,0.26625204,5.0
