Amount of time disappeared from the tracking system vs. Modulus speed from (790, 302) to (1020, 323)
Modulus speed (points/sec)
Amount of time disappeared from the tracking system (sec)
0.0,2.0,1.0
0.0,1.0,1.0
33.0,2.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
84.0,2.0,1.0
0.0,2.0,1.0
16.5,2.0,1.0
0.0,1.0,1.0
33.5,2.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
38.470768,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
33.0,1.0,1.0
33.0,1.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
16.5,2.0,1.0
33.0,1.0,1.0
135.20355,1.0,1.0
0.0,1.0,1.0
7.4444447,9.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
2.068883,34.0,1.0
1.8363637,55.0,1.0
38.470768,1.0,1.0
33.5,2.0,1.0
0.0,1.0,1.0
4.808846,8.0,1.0
0.0,2.0,1.0
33.5,2.0,1.0
0.0,2.0,1.0
6.4117947,6.0,1.0
37.589893,1.0,1.0
0.0,1.0,1.0
9.617692,4.0,1.0
2.5647178,15.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
2.404423,16.0,1.0
38.470768,1.0,1.0
38.470768,1.0,1.0
0.0,2.0,1.0
38.470768,1.0,1.0
38.470768,1.0,1.0
0.0,3.0,1.0
37.589893,1.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
8.5,4.0,1.0
6.8,5.0,1.0
0.0,8.0,1.0
0.0,96.0,1.0
38.470768,1.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
33.0,1.0,1.0
34.687893,2.0,1.0
0.0,6.0,1.0
0.0,7.0,1.0
0.0,2.0,1.0
0.0,4.0,1.0
19.235384,2.0,1.0
0.0,2.0,1.0
33.0,1.0,1.0
16.5,2.0,1.0
0.0,4.0,1.0
16.5,2.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,5.0,1.0
0.0,5.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,3.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,3.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,3.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
17.0,2.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
