Speed angle changed vs. Modulus speed from (100, 343) to (330, 364)
Modulus speed (points/sec)
Speed angle changed (radians)
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
76.902534,0.8842485,1.0
2.5238094,0.16839015,1.0
0.0,0.0,1.0
18.11767,-0.9595002,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
34.0,0.845156,1.0
17.0,-0.0,1.0
34.0,0.0,1.0
0.0,0.0,1.0
21.5,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
59.609142,-0.6142496,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
43.0,-1.0691923,1.0
14.333333,-0.0,1.0
34.0,0.0,1.0
0.0,0.0,1.0
38.5,0.0,1.0
0.0,0.0,1.0
38.5,-0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
33.593155,-0.17798442,1.0
67.18631,-0.12961702,1.0
0.0,0.0,1.0
0.0,0.0,1.0
87.66413,0.060650136,1.0
67.18631,-0.25580856,1.0
11.0,0.25580856,1.0
0.0,0.0,1.0
17.0,-1.5707964,1.0
0.0,0.0,1.0
0.0,0.0,1.0
50.224495,0.10702892,1.0
50.224495,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
77.0,0.17005862,1.0
0.0,0.0,1.0
0.0,0.0,1.0
77.0,-0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
76.902534,-0.5872316,1.0
0.0,0.0,1.0
43.0,0.089236066,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
11.0,0.072832316,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
14.333333,0.59506965,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
13.901439,-1.622302,1.0
0.0,0.0,1.0
0.0,0.0,1.0
50.224495,0.67509735,1.0
0.0,0.0,1.0
8.5,-1.5707964,1.0
34.0,-0.0,1.0
0.0,0.0,1.0
33.593155,-0.45463884,1.0
22.395435,0.0,1.0
0.0,0.0,1.0
43.0,0.07782415,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,5.0
18.56071,-1.1614248,5.0
0.0,0.0,5.0
33.593155,-1.0524422,5.0
0.0,0.0,5.0
75.97697,0.4829589,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
18.56071,-1.1685748,5.0
0.0,0.0,5.0
0.0,0.0,5.0
9.280355,-0.30730507,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
59.0,0.029920645,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
151.95393,-0.84412456,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
18.75,-1.5707964,5.0
59.0,0.0,5.0
18.56071,-0.7574671,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
18.56071,-0.5055633,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
33.593155,-0.8613532,5.0
0.0,0.0,5.0
29.804571,1.1011316,5.0
0.0,0.0,5.0
0.0,0.0,5.0
43.0,0.94200003,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,2.0
0.0,0.0,2.0
37.5,-0.69287956,2.0
77.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
59.0,0.16839015,2.0
0.0,0.0,2.0
0.0,0.0,2.0
75.97697,-0.1419788,2.0
17.0,0.11211071,2.0
76.0,0.0,2.0
0.0,0.0,2.0
21.714285,-0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
46.44486,-0.024276285,2.0
0.0,0.0,3.0
0.0,0.0,3.0
26.5,-0.9526521,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
8.5,0.0,3.0
0.0,0.0,3.0
8.5,-3.1415927,3.0
4.25,3.1415927,3.0
43.832066,0.4406449,3.0
43.0,0.0,3.0
16.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
21.5,1.2442149,3.0
0.0,0.0,3.0
0.0,0.0,3.0
18.56071,0.46235228,3.0
16.0,-1.5707964,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
28.666666,-1.5707964,3.0
0.0,0.0,3.0
59.0,0.0,3.0
26.5,-0.0,3.0
33.593155,-0.12772572,3.0
0.0,0.0,3.0
0.0,0.0,3.0
38.451267,-1.1755524,3.0
43.0,-1.2298174,3.0
21.5,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
8.5,1.5707964,3.0
55.65968,-1.2604089,3.0
27.82984,0.0,3.0
18.553226,0.0,3.0
86.0,-0.3103874,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
17.0,0.1184449,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
39.427147,-1.27417,3.0
39.427147,0.0,3.0
17.0,0.21729343,3.0
0.0,0.0,3.0
37.12142,-0.09261815,3.0
16.0,0.47569522,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
12.373808,-0.36851263,3.0
33.0,0.47569522,3.0
16.0,0.12808284,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
92.88972,-0.123399556,3.0
0.0,0.0,3.0
0.0,0.0,3.0
39.73943,-0.6142496,3.0
59.609142,0.0,3.0
59.609142,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
16.5,0.67189103,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
14.75,0.16839015,4.0
0.0,0.0,4.0
0.0,0.0,4.0
5.375,0.0,4.0
0.0,0.0,4.0
2.8666666,-1.0691923,4.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
0.0,0.0,4.0
6.625,-0.79663366,4.0
2.125,1.5707964,4.0
10.986076,0.8842485,4.0
0.0,0.0,4.0
2.4285715,1.7936965,4.0
0.0,0.0,4.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
43.0,0.09212975,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
26.5,1.1341692,1.0
53.0,-0.0,1.0
22.0,0.0,1.0
23.119257,-0.37649032,1.0
33.593155,1.2469113,1.0
67.18631,0.0,1.0
21.5,0.7968919,1.0
75.5,0.07782415,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
100.44899,-1.0571456,1.0
34.0,0.17005862,1.0
