Speed angle vs. Modulus speed from (100, 302) to (330, 323)
Modulus speed (points/sec)
Speed angle (radians)
0.0,0.25168997,1.0
21.5,-0.0,1.0
10.5,-0.0,1.0
0.0,0.43436727,1.0
10.5,-0.0,1.0
0.0,-0.0,1.0
0.0,0.47116625,1.0
0.0,0.47116625,1.0
0.0,0.47116625,1.0
0.0,0.47116625,1.0
0.0,-1.1071488,1.0
0.0,-1.1071488,1.0
0.0,-1.5707964,1.0
0.0,-1.5707964,1.0
0.0,-1.5707964,1.0
0.0,-1.5707964,1.0
0.0,-0.0,1.0
0.0,-0.31490135,1.0
43.0,0.0,1.0
23.769728,0.38831872,1.0
0.0,0.38831872,1.0
0.0,0.38831872,1.0
0.0,0.38831872,1.0
0.0,0.1746722,1.0
23.769728,0.38831872,1.0
0.0,0.38831872,1.0
0.0,-0.59506965,1.0
0.0,-0.59506965,1.0
0.0,-0.59506965,1.0
0.0,-0.59506965,1.0
0.0,-0.59506965,1.0
0.0,-0.59506965,1.0
0.0,-0.0,1.0
0.0,0.26371184,1.0
36.71512,0.5123895,1.0
0.0,0.5123895,1.0
86.0,-0.0,1.0
21.0,0.0,1.0
3.5,-0.0,1.0
0.0,-0.0,1.0
3.0,-0.0,1.0
0.0,0.0,1.0
0.0,-0.845156,1.0
0.0,-0.845156,1.0
8.6,-0.0,1.0
0.0,0.96441346,1.0
0.0,0.96441346,1.0
0.0,0.96441346,1.0
21.0,0.0,1.0
0.0,0.0,1.0
21.0,-0.0,1.0
10.5,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
23.769728,0.38831872,1.0
53.0,0.0,1.0
77.12976,0.23554498,1.0
54.74486,0.16514868,1.0
0.0,0.16514868,1.0
33.0,-0.0,1.0
33.0,-0.0,1.0
16.5,0.0,1.0
0.0,-1.5707964,1.0
0.0,-1.5707964,1.0
26.5,-0.0,1.0
0.0,-0.0,1.0
0.0,-0.0,1.0
0.0,-0.0,1.0
13.25,0.0,1.0
0.0,0.0,1.0
17.666666,-0.0,1.0
26.5,0.0,1.0
0.0,0.14727747,1.0
0.0,0.33845544,1.0
0.0,0.33845544,1.0
0.0,0.38307706,1.0
74.0,-0.0,1.0
53.0,0.0,1.0
33.0,0.0,1.0
0.0,0.0,1.0
16.5,-0.0,1.0
0.0,-0.0,1.0
26.5,0.0,1.0
28.666666,0.0,1.0
0.0,0.0,1.0
43.0,-0.0,1.0
0.0,-0.0,1.0
0.0,-1.5707964,1.0
0.0,-0.0,1.0
0.0,0.26371184,1.0
119.36499,0.15137544,1.0
0.0,0.26371184,1.0
26.5,-0.0,1.0
0.0,-0.0,1.0
0.0,-0.6857295,1.0
0.0,-0.6857295,1.0
0.0,-0.6857295,1.0
0.0,-0.6857295,1.0
0.0,-0.6857295,1.0
33.0,-0.0,1.0
0.0,-0.0,1.0
0.0,0.16925122,1.0
0.0,0.16925122,1.0
0.0,-1.2442149,1.0
0.0,-1.2442149,1.0
0.0,-1.2442149,1.0
55.0,-0.0,1.0
38.5,0.0,1.0
0.0,-0.6032299,1.0
3.4375,-0.0,1.0
0.0,-0.0,1.0
0.0,-0.0,1.0
34.0,0.0,1.0
17.0,-0.0,1.0
55.0,0.0,1.0
0.0,-0.28353977,1.0
0.0,0.17579791,1.0
16.5,-0.0,1.0
33.0,0.0,1.0
0.0,0.0,1.0
8.25,-0.0,1.0
