Speed in X direction vs. Modulus speed from (660, 2) to (693, 302)
Modulus speed (points/sec)
Speed in X direction (points/sec)
0.0,0.0,1.0
0.0,0.0,1.0
2.4970572,0.64705884,1.0
0.0,0.0,1.0
99.5,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
178.08424,33.0,1.0
0.0,0.0,1.0
62.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
12.601984,1.6,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.032689434,0.0018494343,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
7.66123,5.5,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
32.0,0.0,5.0
33.522797,11.0,5.0
31.216982,16.5,5.0
0.0,0.0,5.0
0.0,0.0,5.0
46.778736,8.5,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
16.0,0.0,5.0
33.0,33.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
22.98369,16.5,5.0
32.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
16.0,0.0,5.0
32.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
16.5,16.5,5.0
0.0,0.0,5.0
0.0,0.0,5.0
38.910152,17.0,5.0
41.400482,33.0,5.0
0.0,0.0,5.0
26.400757,11.0,5.0
0.0,0.0,5.0
65.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
14.115594,5.5,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
42.346783,16.5,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
52.0,0.0,5.0
0.0,0.0,5.0
52.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
72.892044,16.5,5.0
57.421684,16.5,5.0
32.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
32.0,0.0,5.0
0.0,0.0,5.0
72.892044,16.5,5.0
72.892044,16.5,5.0
0.0,0.0,5.0
145.78409,33.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
41.0,0.0,5.0
33.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
32.0,0.0,5.0
47.5,0.0,5.0
79.5,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
32.0,0.0,5.0
0.0,0.0,5.0
72.892044,16.5,5.0
72.892044,16.5,5.0
0.0,0.0,5.0
16.0,0.0,5.0
0.0,0.0,5.0
16.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
32.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
32.0,0.0,5.0
0.0,0.0,5.0
8.0,0.0,5.0
22.98369,16.5,5.0
0.0,0.0,5.0
0.0,0.0,5.0
22.98369,16.5,5.0
0.0,0.0,5.0
22.98369,16.5,5.0
45.96738,33.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
22.98369,16.5,5.0
9.193476,6.6,5.0
22.98369,16.5,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
22.98369,16.5,5.0
114.69307,16.5,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
16.0,0.0,2.0
33.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
22.98369,16.5,2.0
32.0,0.0,2.0
15.32246,11.0,2.0
16.0,0.0,2.0
11.491845,8.25,2.0
32.5,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
16.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
39.601135,16.5,2.0
16.5,16.5,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
25.16446,16.5,2.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
20.8,0.0,3.0
0.0,0.0,3.0
9.133333,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
16.0,0.0,3.0
9.133333,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
21.666666,0.0,3.0
32.5,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
70.459206,16.5,3.0
0.0,0.0,3.0
2.4035087,0.0,3.0
4.642857,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
104.0,0.0,3.0
36.448593,16.5,3.0
21.751118,5.6666665,3.0
0.0,0.0,3.0
0.0,0.0,3.0
