Speed in Y direction vs. Modulus speed from (330, 343) to (560, 364)
Modulus speed (points/sec)
Speed in Y direction (points/sec)
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
14.5,0.0,1.0
29.0,0.0,1.0
27.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
10.635371,5.6666665,1.0
0.0,0.0,1.0
13.5,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
19.006578,8.5,1.0
92.0,0.0,1.0
30.220026,8.5,1.0
0.0,0.0,1.0
29.0,0.0,1.0
0.0,0.0,1.0
27.0,0.0,1.0
29.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
3.1111112,0.0,1.0
0.0,0.0,1.0
55.0,0.0,1.0
13.75,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
8.5,8.5,1.0
28.30636,8.5,1.0
28.0,0.0,1.0
0.0,0.0,1.0
14.0,0.0,1.0
18.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
14.5,0.0,1.0
14.0,0.0,1.0
0.0,0.0,1.0
27.666666,0.0,1.0
0.0,0.0,1.0
17.0,17.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
85.0,0.0,1.0
19.333334,0.0,1.0
0.0,0.0,1.0
14.0,0.0,1.0
56.61272,17.0,1.0
0.0,0.0,1.0
13.5,0.0,1.0
27.0,0.0,1.0
56.61272,17.0,1.0
27.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
27.0,0.0,1.0
0.0,0.0,1.0
54.0,0.0,1.0
27.0,0.0,1.0
0.0,0.0,1.0
54.0,0.0,1.0
13.5,0.0,1.0
27.0,0.0,1.0
0.0,0.0,1.0
32.75668,17.0,1.0
20.935915,4.25,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
29.0,0.0,1.0
82.0,0.0,1.0
0.0,0.0,1.0
41.0,0.0,1.0
56.61272,17.0,1.0
0.0,0.0,1.0
83.74366,17.0,1.0
87.414246,8.5,1.0
0.0,0.0,1.0
9.0,0.0,1.0
27.0,0.0,1.0
58.0,0.0,1.0
29.0,0.0,1.0
57.567352,17.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
13.5,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
15.953056,8.5,1.0
27.5,0.0,1.0
0.0,0.0,1.0
82.0,0.0,1.0
18.333334,0.0,1.0
27.5,0.0,1.0
0.0,0.0,1.0
4.230769,0.0,1.0
13.5,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
29.26175,8.5,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
27.0,0.0,1.0
31.906113,17.0,1.0
29.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
27.0,0.0,1.0
27.5,0.0,1.0
0.0,0.0,1.0
9.333333,0.0,1.0
0.0,0.0,1.0
14.0,0.0,1.0
28.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
16.807735,8.5,1.0
14.5,0.0,1.0
27.0,0.0,1.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
42.5,0.0,5.0
0.0,0.0,5.0
9.666667,0.0,5.0
14.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
13.5,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
19.006578,8.5,5.0
0.0,0.0,5.0
12.671052,5.6666665,5.0
