Speed Angle Change vs Modulus Speed from (805, 343) to (1044, 364)
Modulus Speed (points/sec)
Speed Angle Changed(radians)
35.654594,1.2467574,1.0
473.77,-0.07357516,1.0
284.82013,0.0,1.0
410.0,0.0,1.0
34.0,0.0,1.0
252.16066,0.35060045,1.0
27.41464,-0.42285392,1.0
10.331252,0.114876606,1.0
18.601076,0.7599546,1.0
121.037186,0.11060326,1.0
86.41904,-0.8839154,1.0
135.07405,0.22470878,1.0
35.11766,1.0816765,1.0
55.28562,-0.1314068,1.0
28.200178,-0.92374915,1.0
9.517824,1.0890914,1.0
200.7212,0.17430584,1.0
21.708294,0.0,1.0
7.769231,-0.67114383,1.0
72.07789,0.14385912,1.0
0.5882353,-0.14385912,1.0
17.0,-1.5707964,1.0
3.9285715,1.6130247,1.0
4.545506,0.39474759,1.0
80.70936,-0.16918786,1.0
20.17734,0.0,1.0
41.0,0.58683264,1.0
23.364265,0.023664221,1.0
3.030303,-0.24497867,1.0
5.8925567,1.0691923,1.0
26.997942,0.0,1.0
39.50387,0.5505494,1.0
22.333334,-0.5505494,1.0
242.0,-0.16317044,1.0
275.52496,-0.03735,1.0
39.0,-0.1045556,1.0
40.496914,1.0612041,1.0
23.041027,-0.82279223,1.0
67.0,0.24848743,1.0
34.56154,0.24848743,1.0
167.44626,-1.2424358,1.0
7.680342,-0.5768479,1.0
81.5414,0.9861951,1.0
68.03308,0.70986784,1.0
122.09468,0.10311985,1.0
70.71068,1.0691923,1.0
91.28527,0.74665785,1.0
91.692726,0.22734381,1.0
406.8968,0.066404685,1.0
260.1615,-0.07320069,1.0
55.28562,-0.08020412,1.0
14.472196,0.5631321,1.0
137.67352,-0.47374827,1.0
21.319006,-0.19883028,1.0
55.28562,0.1353485,1.0
35.49736,0.8019684,1.0
80.70936,0.0920923,1.0
11.25,0.9793573,1.0
109.252,-0.468347,1.0
22.114248,0.46344855,1.0
5.0,-1.3052635,1.0
59.255802,2.1213458,1.0
423.63574,-0.013739565,1.0
134.0,-0.07324154,1.0
38.043148,-0.11060326,1.0
0.86833173,-1.3568734,1.0
32.42513,-0.1450228,1.0
21.738943,1.6625928,1.0
142.33333,0.04950906,1.0
194.90062,0.1534812,1.0
8.034024,0.057776242,1.0
20.48414,-0.22453006,1.0
5.430451,-0.2968938,1.0
8.527602,-0.6857295,1.0
59.333332,0.0,1.0
435.83713,0.09783066,1.0
21.319006,-0.19883028,1.0
35.339115,0.008071654,1.0
29.572092,-0.011844389,1.0
33.572163,0.011844389,1.0
23.041027,0.18290995,1.0
358.7541,0.061602574,1.0
92.28903,0.084049195,1.0
105.47318,0.084049195,1.0
9.648147,0.06656083,1.0
43.430134,0.08522967,1.0
54.873108,0.04474623,1.0
16.93023,0.57893294,1.0
18.800117,0.37319973,1.0
33.5,-0.92374915,1.0
164.0,0.0,1.0
17.0,0.0,1.0
52.690132,0.26022258,1.0
12.167809,-0.07298365,1.0
40.35468,0.0,1.0
173.9224,0.35147166,1.0
45.0,1.3090829,1.0
80.70936,-1.1160523,1.0
36.503426,0.6234265,1.0
92.01155,0.00835065,1.0
15.0,1.020247,1.0
8.5274,0.2200129,1.0
141.35417,-0.029554272,1.0
17.67767,2.6399887,1.0
80.70936,-0.591439,1.0
182.39311,-0.02770049,1.0
101.0,-0.12367495,1.0
101.0,-0.0,1.0
50.5,0.0,1.0
101.0,-0.0,1.0
17.083334,0.58683264,1.0
378.241,0.0663018,1.0
201.71762,1.0224237,1.0
200.66667,0.47569522,5.0
142.76204,1.278168,5.0
25.5,-0.87964547,5.0
362.16882,0.0,5.0
12.184284,0.4489728,5.0
189.84204,1.3928398,5.0
0.747103,0.44195235,5.0
82.07046,-0.16989511,5.0
117.53962,-0.0072224615,5.0
31.0,1.6043658,5.0
8.5,-1.5707964,5.0
51.0,0.0,5.0
0.58938307,-0.19722378,5.0
238.80536,1.1499438,5.0
81.69724,-0.07261705,5.0
271.39316,-0.19714741,5.0
219.91475,0.10964601,5.0
12.167809,-0.81323516,5.0
3.8311274,-0.21404043,5.0
21.319006,0.5512085,5.0
5.0,0.0,5.0
41.804043,0.18477839,5.0
8.057194,0.6470472,5.0
204.92499,1.3445054,5.0
18.727272,-0.13059573,5.0
20.039024,0.5548874,5.0
251.3628,0.053733088,5.0
235.57695,0.059814785,5.0
18.251713,-0.23501222,5.0
16.5,0.23501222,5.0
91.977,0.08643959,5.0
35.35534,1.6067789,5.0
86.25636,-0.9467733,5.0
209.10823,-0.13680011,5.0
150.90146,-0.021584906,5.0
67.537025,-0.1991515,5.0
318.7601,0.62533957,5.0
35.0464,0.17590633,5.0
46.0,0.0,5.0
302.0,0.08742598,5.0
13.5,1.971037,5.0
11.121151,0.9705362,5.0
74.44444,-1.5707964,5.0
35.35534,0.0,5.0
34.077118,-1.3212882,5.0
252.09367,0.028968204,5.0
102.0,-0.058212303,5.0
94.666664,0.0,5.0
35.35534,0.58229303,5.0
184.04907,-0.023093719,5.0
4.714286,0.023093719,5.0
230.84871,0.46207038,5.0
22.0,0.7308384,5.0
267.5,-0.3042085,5.0
110.63454,1.4385452,5.0
8.838835,0.9356632,5.0
203.4484,0.066404685,5.0
106.42857,0.0,5.0
180.42235,0.16244087,5.0
161.565,1.7235473,5.0
238.52306,-0.05266876,5.0
75.91179,0.940026,5.0
656.4762,0.50954694,5.0
46.010868,0.32991523,5.0
569.2539,0.029868092,5.0
158.82695,0.6207061,5.0
41.246212,0.10931853,5.0
70.71068,1.1230325,5.0
437.32138,-0.06562894,5.0
235.07924,-0.072851405,5.0
83.71463,0.20224176,5.0
361.33224,0.0,5.0
267.84042,0.05042451,5.0
23.0,1.0209432,5.0
31.0,3.1415927,5.0
285.12674,0.029815722,5.0
135.31676,0.0,5.0
241.44588,-0.11388963,5.0
82.9759,1.5499904,5.0
13.8246155,-0.6136826,5.0
203.4484,-0.09676576,5.0
172.0,0.23501222,5.0
131.33333,0.0,5.0
68.30833,0.9116791,5.0
120.72117,0.56721026,5.0
75.02708,0.8257293,5.0
4.25,-1.899923,5.0
19.610088,0.03644329,5.0
176.4405,0.07114849,5.0
50.58142,0.019802077,5.0
604.67676,0.04762958,5.0
55.605755,0.8770665,5.0
100.333336,0.07731039,5.0
136.66667,0.15865526,5.0
1.6341463,-0.0,5.0
9.267626,1.3131484,5.0
142.56337,-0.004035882,5.0
361.5,0.0,5.0
251.14389,0.004035882,5.0
378.241,0.063173115,5.0
23.769728,0.38831872,5.0
237.52106,-1.47804,5.0
35.35534,0.50557506,5.0
36.417336,-0.9014061,5.0
34.0,0.41450688,5.0
63.04161,1.9104079,5.0
34.077118,-1.0214698,5.0
284.32068,0.047499456,5.0
26.997942,0.9745455,5.0
34.0,-0.5743048,5.0
34.0,0.0,5.0
301.80292,0.30405062,5.0
34.0,-0.07295997,5.0
11.889424,1.3754662,5.0
284.62695,0.080292605,5.0
181.08441,-0.0062922277,5.0
37.02852,-0.13638945,5.0
55.605755,0.5056519,5.0
637.2268,-0.0031868273,5.0
376.42795,-0.08950835,5.0
11.357556,0.43335384,5.0
13.5,3.1415927,5.0
356.61884,0.3703856,5.0
8.8,1.9780521,5.0
284.62695,0.0031868273,5.0
102.4207,-0.19662191,5.0
46.0,0.42225116,5.0
359.24365,-0.10954991,5.0
430.8503,1.6718895,5.0
622.5568,0.009952678,5.0
394.0,0.0,5.0
117.47577,-0.013604226,5.0
401.63666,1.9559538,5.0
42.638012,2.2565258,5.0
131.33333,0.57133746,5.0
66.0,0.0,5.0
131.0353,-0.28181934,5.0
30.184618,-1.2410575,5.0
49.216076,-0.3059232,5.0
66.666664,0.0,5.0
67.43495,-0.26898843,5.0
428.5,0.4143314,5.0
26.345066,-0.16202857,5.0
19.006578,0.62567616,5.0
167.5,0.45113522,5.0
159.22626,-0.061417896,5.0
226.0553,-0.32449153,5.0
302.0,0.4636476,5.0
126.56136,0.0043213675,5.0
31.0,2.0576956,5.0
154.15576,1.3126017,5.0
222.60237,0.030327776,5.0
34.5,-0.13059573,5.0
35.35534,-0.58229303,5.0
46.0,0.0,5.0
6.178417,0.0,5.0
17.0,-0.9129077,5.0
4.1594515,1.1512358,5.0
34.0,-1.0691923,5.0
362.16882,-0.009952678,5.0
68.03308,0.064484,5.0
302.0,0.115159854,5.0
164.11905,0.60249436,5.0
20.248457,0.6319333,5.0
101.7242,-0.020163426,5.0
603.60583,-0.021584906,5.0
251.14389,0.0,5.0
285.12674,-0.12571242,5.0
98.68273,-0.026575388,5.0
88.042946,-0.1474169,5.0
112.682076,-0.1174251,5.0
65.61483,6.890849E-5,5.0
30.428423,-0.74665785,5.0
221.2781,-1.0505291,5.0
221.2781,0.013436567,5.0
27.802877,0.44697702,5.0
7.9436793,0.44697702,5.0
238.80536,2.2075973,5.0
147.51874,0.12992214,5.0
110.63905,1.8627223,5.0
188.21397,0.049314506,5.0
55.803226,-0.43870077,5.0
13.901439,0.44697702,5.0
110.63905,1.8627223,5.0
