Speed Angle vs Modulus Speed from (326, 343) to (566, 364)
Modulus Speed (points/sec)
Speed Angle (radians)
222.59605,0.20356289,1.0
0.0,0.20356289,1.0
50.0,0.0,1.0
77.682045,0.1746722,1.0
133.0902,-0.12808284,1.0
0.0,-0.12808284,1.0
0.0,-0.12808284,1.0
0.0,-0.12808284,1.0
50.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
14.5,0.0,1.0
65.89765,0.20632389,1.0
29.0,-0.0,1.0
89.1852,0.30756712,1.0
63.97656,0.43568286,1.0
19.811613,0.74969906,1.0
27.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
13.5,1.5707964,1.0
0.0,1.5707964,1.0
61.012295,0.22311336,1.0
101.98039,0.44610554,1.0
15.542281,0.44926012,1.0
62.169125,0.44926012,1.0
53.535034,0.9983365,1.0
31.084562,0.44926012,1.0
10.635371,-0.56192154,1.0
95.880135,0.28546286,1.0
0.0,0.28546286,1.0
13.5,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
127.141655,0.50939035,1.0
55.65968,-0.3103874,1.0
27.771389,-0.40725586,1.0
222.0,-0.0,1.0
318.6134,-0.026681265,1.0
222.59605,0.20356289,1.0
84.19092,-0.06735826,1.0
155.36409,0.1746722,1.0
0.0,0.1746722,1.0
19.006578,-0.4636476,1.0
92.0,0.0,1.0
30.220026,0.28511775,1.0
0.0,0.28511775,1.0
29.0,0.0,1.0
0.0,0.0,1.0
44.34242,-0.5191461,1.0
34.0147,1.1466019,1.0
31.0,1.5707964,1.0
27.0,-0.0,1.0
127.88276,0.21273178,1.0
29.0,-0.0,1.0
22.2963,0.30756712,1.0
61.269894,0.45634848,1.0
27.82984,-0.3103874,1.0
0.0,-0.3103874,1.0
39.623226,-0.74969906,1.0
0.0,-0.74969906,1.0
0.0,-0.74969906,1.0
109.33092,-0.07782415,1.0
0.0,-0.07782415,1.0
87.91189,-0.096839,1.0
51.790443,0.26371184,1.0
55.65968,-0.3103874,1.0
18.553226,-0.3103874,1.0
52.153618,-1.0040671,1.0
67.30899,-0.23236673,1.0
232.42203,-0.2700256,1.0
50.898182,-0.4966027,1.0
3.1111112,-0.0,1.0
0.0,-0.0,1.0
15.0,1.5707964,1.0
55.0,-0.0,1.0
13.75,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
15.118463,-0.12526657,1.0
27.0,-0.0,1.0
8.5,1.5707964,1.0
28.30636,-0.30499235,1.0
28.0,0.0,1.0
0.0,0.0,1.0
14.0,-0.0,1.0
18.0,-0.0,1.0
61.59455,-0.09212975,1.0
0.0,-0.09212975,1.0
0.0,-0.09212975,1.0
155.36409,0.1746722,1.0
103.58089,0.26371184,1.0
14.5,0.0,1.0
224.08926,-0.861202,1.0
14.0,-0.0,1.0
0.0,-0.0,1.0
27.666666,-0.0,1.0
0.0,-0.0,1.0
106.36024,0.12727045,1.0
17.0,1.5707964,1.0
36.117863,0.38307706,1.0
233.61935,-0.072832316,1.0
153.94154,-0.11065722,1.0
0.0,-0.11065722,1.0
0.0,-0.11065722,1.0
175.82378,-0.096839,1.0
186.95988,0.14492276,1.0
0.0,0.14492276,1.0
0.0,0.14492276,1.0
85.0,-0.0,1.0
19.333334,0.0,1.0
160.29036,0.16925122,1.0
55.0,0.9272952,1.0
136.06616,-0.12526657,1.0
