Speed Angle Change vs Modulus Speed from (326, 364) to (566, 385)
Modulus Speed (points/sec)
Speed Angle Changed(radians)
101.98039,0.44610554,1.0
10.635371,-1.0111817,1.0
127.141655,2.0801866,1.0
55.65968,-0.63213795,1.0
27.771389,0.64684534,1.0
318.6134,-0.062380377,1.0
19.006578,-0.6383198,1.0
92.0,0.4636476,1.0
44.34242,-0.58898056,1.0
34.0147,0.57526445,1.0
31.0,1.5707964,1.0
27.0,-1.5707964,1.0
27.82984,-0.3103874,1.0
0.0,0.0,1.0
55.65968,-0.57818663,1.0
18.553226,0.43248323,1.0
52.153618,-1.2248958,1.0
67.30899,0.0,1.0
232.42203,-0.39753518,1.0
50.898182,-1.6330317,1.0
3.1111112,0.4966027,1.0
0.0,0.0,1.0
15.118463,-0.12526657,1.0
8.5,1.5707964,1.0
17.0,1.4435259,1.0
55.0,1.426642,1.0
136.06616,-0.05051624,1.0
109.32977,-0.21786599,1.0
188.30826,0.14173023,1.0
39.80089,0.24680023,1.0
112.0,0.07101011,1.0
51.40039,0.0,1.0
112.32208,-0.23566078,1.0
27.82984,0.0,1.0
20.691181,-0.91082007,1.0
0.0,0.0,1.0
55.65968,-0.10351346,1.0
14.0,0.3103874,1.0
56.61272,0.7092047,1.0
0.0,0.0,1.0
13.5,0.30499235,1.0
27.0,-0.0,1.0
32.75668,0.5456551,1.0
112.0,-0.13059573,1.0
27.82984,0.0,1.0
27.82984,0.0,1.0
8.804296,0.36374265,1.0
136.29747,0.17063573,1.0
4.6383066,-0.3103874,1.0
56.61272,-0.40652877,1.0
0.0,0.0,1.0
22.0,1.2527088,1.0
87.414246,0.107029155,1.0
126.269554,-0.21544923,1.0
51.62364,0.0,1.0
136.06616,-0.37024525,1.0
53.0,-0.3614409,1.0
0.0,0.0,1.0
10.430724,-1.8279079,1.0
86.72946,-0.3655182,1.0
82.764725,-0.6780402,1.0
82.764725,-0.6780402,1.0
63.570827,0.50939035,1.0
57.567352,0.12397817,1.0
44.0,1.3547114,1.0
71.56291,0.26533422,1.0
81.394104,0.07591722,1.0
0.0,0.0,1.0
1.9078267,-0.79615104,1.0
15.953056,-1.0088748,1.0
105.81233,0.20944317,1.0
29.85067,0.5381587,1.0
0.0,0.0,1.0
4.230769,-0.37739596,1.0
82.87943,-0.845156,1.0
34.0147,-1.0435203,1.0
34.0147,-0.9858392,1.0
0.0,0.0,1.0
0.0,0.0,1.0
119.40268,0.5381587,1.0
0.0,0.0,1.0
119.40268,0.0,1.0
17.38454,0.5667292,1.0
134.61798,1.3384296,1.0
269.23596,-0.16377221,1.0
71.56291,-0.21546693,1.0
27.82984,-0.47355786,1.0
51.8001,0.08607687,1.0
44.0,1.1215363,1.0
31.906113,0.56192154,1.0
62.0,3.1415927,1.0
9.333333,-1.5707964,1.0
52.153618,-0.33809787,1.0
0.0,0.0,1.0
22.0,1.2335432,1.0
78.854294,-0.21729343,1.0
44.0,3.1415927,1.0
71.56291,0.13997872,1.0
23.485369,0.344811,1.0
14.0,-0.48745263,1.0
28.0,-0.0,1.0
18.611824,-0.063007966,1.0
0.0,0.0,1.0
16.807735,-0.21948327,1.0
14.5,-0.5302158,1.0
119.40268,0.21422553,1.0
173.45892,-0.23198916,1.0
102.80078,-1.110223E-16,1.0
68.148735,0.6916994,1.0
34.266926,1.2028859,5.0
71.56291,-0.33387262,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
13.038404,0.0,5.0
51.40039,0.0,5.0
26.076809,1.1182184,5.0
0.0,0.0,5.0
28.625164,0.0,5.0
26.076809,1.1182184,5.0
0.0,0.0,5.0
51.40039,0.0,5.0
335.10782,-0.44822162,5.0
269.78696,-0.02926064,5.0
0.0,0.0,5.0
0.0,0.0,5.0
26.076809,-1.3539227,5.0
0.0,0.0,5.0
22.0,1.5707964,5.0
134.61798,1.3384296,5.0
22.0,1.6393908,5.0
63.570827,0.50939035,5.0
0.0,0.0,5.0
51.40039,0.64739215,5.0
71.56291,-0.27165774,5.0
26.076809,1.0040671,5.0
76.55717,0.41689807,5.0
0.0,0.0,5.0
39.78833,-0.30755726,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
269.78696,-0.09235012,5.0
146.65947,-0.19879568,5.0
132.83449,-0.015810583,5.0
26.076809,1.1182184,5.0
0.0,0.0,5.0
26.076809,-0.7654578,5.0
119.40268,0.9328897,5.0
0.0,0.0,5.0
0.0,0.0,5.0
68.148735,-0.9167136,5.0
0.0,0.0,5.0
51.40039,0.43130717,5.0
22.0,1.5707964,5.0
0.0,0.0,5.0
63.570827,2.0801866,5.0
63.07535,0.1351707,5.0
112.0,-0.13059573,5.0
14.0,0.0,5.0
71.56291,0.42486963,5.0
167.97487,-0.63107127,5.0
41.109608,1.4097484,5.0
26.076809,-1.0040671,5.0
52.153618,1.0040671,5.0
143.12582,0.0,5.0
44.0,1.5707964,5.0
0.0,0.0,5.0
135.77104,-0.0797238,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
22.0,1.5707964,5.0
0.0,0.0,5.0
0.0,0.0,5.0
105.81233,0.39479113,5.0
22.0,3.1415927,5.0
31.0,1.731559,5.0
26.076809,1.1182184,5.0
63.570827,0.50939035,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
78.5,-1.0541012,5.0
19.006578,-0.6383198,5.0
227.69278,-1.6427022,5.0
0.0,0.0,5.0
59.70134,0.24680023,5.0
26.076809,-0.7654578,5.0
22.0,3.1415927,5.0
0.0,0.0,5.0
27.259493,-0.37356865,5.0
85.5992,0.6267223,5.0
119.40268,0.21422553,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
28.0,-0.37739596,5.0
88.68484,0.104876935,5.0
0.0,0.0,5.0
127.141655,0.50939035,5.0
0.0,0.0,5.0
0.0,0.0,5.0
68.0294,1.1466019,5.0
0.0,0.0,5.0
46.52956,-0.063007966,5.0
63.570827,0.69473827,5.0
0.0,0.0,5.0
68.524124,-0.19963148,5.0
18.56071,0.8459028,5.0
112.0,0.85843873,5.0
0.0,0.0,5.0
5.2619233,0.14419138,5.0
46.970737,0.20915298,5.0
26.076809,0.7992862,5.0
26.076809,0.68231654,5.0
26.076809,-1.3539227,5.0
59.70134,0.37739596,5.0
166.90416,0.35076648,5.0
26.076809,-0.7654578,5.0
63.570827,0.50939035,5.0
0.0,0.0,5.0
59.70134,0.26605707,5.0
86.72946,-0.23198916,5.0
51.40039,0.0,5.0
0.0,0.0,5.0
52.153618,-1.3539227,5.0
46.970737,0.42602658,5.0
59.70134,-0.11005667,5.0
0.0,0.0,5.0
31.785414,2.0801866,5.0
39.661064,-0.097726904,5.0
119.40268,0.37739596,5.0
0.0,0.0,5.0
0.0,0.0,5.0
44.0,1.5707964,5.0
22.0,1.709436,5.0
39.78833,-0.54616654,5.0
0.0,0.0,5.0
22.0,2.1421337,5.0
0.0,0.0,5.0
51.40039,0.64739215,5.0
26.076809,-1.3539227,5.0
86.72946,0.0,5.0
46.52956,0.028838158,5.0
19.900446,0.6515634,5.0
302.0,-0.0,5.0
132.83449,-1.0907788,5.0
71.56291,-0.27165774,5.0
27.82984,-0.5060881,5.0
102.78619,0.14011475,5.0
19.006578,-0.39658415,5.0
604.0,-0.72576743,5.0
22.0,1.5707964,5.0
0.0,0.0,5.0
22.0,1.5707964,5.0
0.0,0.0,5.0
31.0,3.1415927,5.0
0.0,0.0,5.0
0.0,0.0,5.0
76.5,-0.13059573,5.0
149.13165,-0.041325364,5.0
31.785414,2.0801866,5.0
45.43249,-0.328711,5.0
51.40039,1.2028859,5.0
269.78696,0.3717394,5.0
159.71677,-1.6542674,5.0
0.0,0.0,5.0
25.90005,2.2123668,5.0
22.0,1.3120254,5.0
26.076809,1.0040671,5.0
132.83449,0.6920524,5.0
0.0,0.0,5.0
46.52956,0.19156553,5.0
145.7978,0.30656734,2.0
71.56291,-0.30938414,2.0
127.141655,0.3486276,2.0
0.0,0.0,2.0
17.38454,-1.0040671,2.0
0.0,0.0,2.0
0.0,0.0,2.0
76.55717,0.0,2.0
22.0,1.709436,2.0
71.56291,-0.4480239,2.0
71.56291,0.0,2.0
0.0,0.0,2.0
143.12582,0.7120555,2.0
0.0,0.0,2.0
19.006578,-0.37424514,2.0
59.70134,0.37739596,2.0
26.076809,1.1182184,2.0
0.0,0.0,2.0
34.0147,-0.57526445,2.0
22.0,1.3120254,2.0
0.0,0.0,2.0
0.0,0.0,2.0
127.141655,0.0,2.0
22.0,1.709436,2.0
56.16104,-0.2092767,2.0
47.708607,0.0,2.0
26.076809,-1.3539227,2.0
70.51418,0.12083698,2.0
15.953056,0.11266145,2.0
42.38055,-0.04610341,2.0
63.570827,0.46117038,2.0
71.56291,-0.27165774,2.0
26.076809,1.1416539,2.0
0.0,0.0,2.0
26.076809,-0.7654578,2.0
