Path length vs. Time spent from (560, 343) to (790, 364)
Time spent (sec)
Path length (points/sec)
0.23577932,14.729935,1.0
7.507919,846.65344,1.0
7.1343575,579.1996,1.0
6.333333,84.679855,1.0
3.7084134,395.10663,1.0
4.40909,92.09703,1.0
1.0208746,38.199215,1.0
1.1747584,14.610013,1.0
0.0,0.0,1.0
0.16296168,4.194483,1.0
0.6406695,12.772063,1.0
2.1312664,11.88911,1.0
10.442374,407.7145,1.0
9.777778,14.055281,1.0
0.2677108,14.074881,1.0
17.064816,36.994225,1.0
3.495451,517.6767,1.0
14.0,318.97974,1.0
2.3333318,272.70135,1.0
0.06481479,7.086187,1.0
2.2348485,60.41088,1.0
2.526243,14.651508,1.0
1.0,171.84296,1.0
10.932838,926.8006,1.0
13.528302,14.702568,1.0
2.500992,528.2475,1.0
6.0,343.6859,1.0
6.0,343.6859,1.0
4.8419743,90.2916,1.0
0.21849535,14.503794,1.0
2.276637,219.40219,1.0
3.3962266,14.702568,1.0
1.2222126,4.194483,1.0
1.9431965,45.183716,1.0
0.43076923,56.0,1.0
0.31111085,14.193901,1.0
2.400774,273.1211,1.0
0.31111136,14.270723,1.0
0.14629573,11.409925,1.0
0.22777656,11.409925,1.0
3.9516644,397.27734,1.0
26.085768,2390.0854,1.0
2.2074072,14.27724,1.0
1.1555554,14.27724,1.0
0.103703596,14.27724,1.0
0.44444358,12.803746,1.0
0.24938172,12.665126,1.0
0.21849504,15.00849,1.0
1.0496378,37.3498,1.0
0.13207556,7.351284,1.0
6.8810625,356.84296,1.0
0.24444403,16.064615,1.0
0.32407397,7.086187,1.0
0.13827156,14.13862,1.0
0.0945347,14.397349,1.0
0.21446846,14.246735,1.0
3.6049385,36.563393,1.0
3.1629624,33.89909,1.0
0.08148104,6.111078,1.0
3.9053802,265.87497,1.0
7.939393,124.496376,1.0
35.051674,2790.8003,1.0
6.3333297,349.89468,1.0
5.1723127,14.677567,1.0
0.306834,14.445509,1.0
0.7875618,14.566726,1.0
2.285185,14.354062,1.0
0.40259746,31.74654,1.0
5.5346727,63.60252,1.0
0.081481256,3.6666565,1.0
1.0,0.0,1.0
16.23668,945.8309,1.0
5.0,0.0,1.0
0.2444435,7.2669144,1.0
0.08036143,14.834603,1.0
0.2074073,14.13862,1.0
0.4941074,54.3165,1.0
0.2134145,14.352955,1.0
5.0916724,287.31598,1.0
8.805888,2072.7874,5.0
0.11064791,10.724806,5.0
1.1629626,7.333313,5.0
75.70823,1132.2747,5.0
0.19130377,14.71956,5.0
2.8181787,440.95172,5.0
0.0,0.0,5.0
14.222939,434.4096,5.0
3.0,32.75668,5.0
6.162962,27.460556,5.0
2.0,0.0,5.0
0.0,0.0,5.0
0.16296272,43.584076,5.0
3.2032058,800.3587,5.0
2.325925,3.6666565,5.0
7.730293,1011.72015,5.0
0.0,0.0,5.0
4.892879,317.32056,5.0
2.9999995,213.64272,5.0
4.34848,485.99188,5.0
1.8505034,46.61682,5.0
17.226088,1635.2655,5.0
2.0,0.0,5.0
5.319245,415.5482,5.0
0.0,0.0,5.0
3.102356,54.565746,5.0
5.0586667,491.08926,5.0
8.068449,1498.6093,5.0
2.0814812,3.6666565,5.0
0.0,0.0,5.0
2.4074054,7.8611393,5.0
0.16296251,3.6666565,5.0
8.039869,1016.9445,5.0
0.08148115,7.056945,5.0
6.1629624,476.66666,5.0
1.8157308,83.76359,5.0
2.1629624,3.6666565,5.0
4.9941273,1105.9736,5.0
8.557884,1961.7594,5.0
0.0,0.0,5.0
0.08148084,4.194483,5.0
0.16296288,14.875909,5.0
0.0,0.0,5.0
0.081481256,3.6666565,5.0
4.0814815,7.9426856,5.0
8.592596,793.5189,5.0
13.385329,1866.2181,5.0
0.16296251,3.6666565,5.0
0.16296251,3.6666565,5.0
0.32592502,7.333313,5.0
16.664328,2646.6458,5.0
3.8615525,360.48535,5.0
2.1629622,7.056945,5.0
5.666667,603.24036,5.0
1.2127964,319.66666,5.0
5.4508386,320.48288,5.0
0.22621427,15.416217,5.0
2.1629624,3.6666565,5.0
15.045003,1719.2911,5.0
0.0,0.0,5.0
1.0592475,21.932928,5.0
0.16296192,15.434352,5.0
8.660887,1435.7557,5.0
0.16296251,3.6666565,5.0
0.0,0.0,5.0
0.36049187,20.798273,5.0
0.32592502,7.333313,5.0
4.878785,110.57986,5.0
7.027801,1108.0796,5.0
0.16296287,4.276029,5.0
0.16296168,4.194483,5.0
0.32592508,12.158319,5.0
6.0501137,1286.1206,5.0
0.081481256,3.6666565,5.0
3.1858544,1261.7477,5.0
0.081481256,3.6666565,5.0
0.081481256,3.6666565,5.0
12.597157,2078.3345,5.0
0.24444376,3.6666565,5.0
0.0,0.0,5.0
91.943665,2616.7092,5.0
6.136363,111.11738,5.0
6.4319777,106.510025,5.0
0.19727811,20.277464,5.0
4.1471844,262.08926,5.0
0.8892794,253.1129,5.0
0.08148084,4.194483,5.0
4.372129,590.9632,5.0
0.6275287,93.5844,5.0
1.8296281,46.61682,5.0
5.6032305,635.91846,5.0
0.24444336,7.8611393,5.0
0.16296168,4.194483,5.0
7.033898,1064.5245,5.0
2.0,0.0,5.0
4.5445814,547.5292,5.0
0.0,0.0,5.0
2.0,0.0,5.0
15.527642,684.698,5.0
0.0,0.0,5.0
4.162962,6.111078,5.0
0.0,0.0,2.0
20.398619,2728.6614,2.0
2.0,0.0,2.0
0.24444431,4.276029,2.0
0.16296287,4.276029,2.0
3.4230134,206.05307,2.0
4.1629624,20.056456,2.0
0.16296251,3.6666565,2.0
3.162962,240.91962,2.0
2.162963,4.276029,2.0
0.26666588,24.798456,2.0
0.32592484,48.22865,2.0
6.4914236,1527.7045,2.0
0.0,0.0,2.0
0.081481256,3.6666565,2.0
0.0,0.0,2.0
2.162963,4.276029,2.0
2.0,0.0,2.0
0.32592502,7.333313,2.0
3.4544756,984.63434,2.0
0.7133758,56.0,2.0
19.212273,567.1792,2.0
0.16296251,3.6666565,2.0
0.58824795,78.13961,2.0
1.8009309,82.89022,2.0
9.60216,299.53214,2.0
5.0,0.0,2.0
6.2369585,1226.8342,2.0
0.0,0.0,2.0
2.2948046,54.278446,2.0
2.1629624,3.6666565,2.0
0.0,0.0,2.0
2.0,0.0,2.0
0.16296192,15.434352,2.0
12.953974,1529.638,2.0
5.1629624,3.6666565,2.0
0.0,0.0,2.0
1.0,0.0,2.0
2.0,0.0,2.0
0.0,0.0,2.0
2.0,0.0,2.0
2.0,0.0,2.0
0.0,0.0,2.0
1.7690223,44.99997,2.0
3.7407377,63.668026,2.0
8.216182,1557.6255,2.0
0.16296229,25.282011,2.0
9.705812,2532.247,2.0
1.1629626,3.6666565,2.0
4.0836916,154.73326,2.0
2.1960785,113.54491,2.0
12.304528,1665.5546,2.0
7.2852125,226.46442,2.0
24.50865,3479.6377,2.0
1.8915961,179.55658,2.0
0.081481256,3.6666565,2.0
2.8670616,101.77242,2.0
0.16296251,3.6666565,2.0
2.3259242,7.8611393,2.0
0.16296251,3.6666565,2.0
246.35065,2637.153,2.0
0.3259242,7.8611393,2.0
3.1629624,3.6666565,2.0
0.16296251,3.6666565,2.0
11.217726,1605.6067,3.0
0.16296251,3.6666565,3.0
0.16296194,5.603261,3.0
0.32592502,7.333313,3.0
0.32592502,7.333313,3.0
9.0,120.0,3.0
0.0,0.0,3.0
15.246337,1672.8695,3.0
2.6988425,456.51657,3.0
0.82962763,42.008316,3.0
0.0,0.0,3.0
6.1629624,3.6666565,3.0
0.32592502,7.333313,3.0
12.124453,1708.7074,3.0
2.162961,17.738445,3.0
0.0,0.0,3.0
0.0,0.0,3.0
5.261001,87.37571,3.0
11.871805,756.5095,3.0
7.0,30.232433,3.0
0.08148084,4.194483,3.0
0.0,0.0,3.0
5.0,0.0,3.0
16.234747,1404.3999,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.52830225,14.702568,3.0
7.128049,56.094227,3.0
0.32592502,7.333313,3.0
2.1629622,56.791973,3.0
2.0,0.0,3.0
0.081481256,3.6666565,3.0
37.91356,967.24347,3.0
1.2610017,60.43911,3.0
4.4962935,155.07881,3.0
4.295731,116.28987,3.0
2.1629617,60.347202,3.0
17.839851,128.5492,3.0
0.24347827,56.03823,3.0
13.431371,426.32162,3.0
32.955143,4212.7656,3.0
5.2610016,60.43911,3.0
0.16296251,3.6666565,3.0
3.3750808,102.93558,3.0
2.0,31.906113,3.0
28.351988,3096.637,3.0
6.0174384,269.23682,3.0
3.9393926,31.994562,3.0
5.0652914,150.43423,3.0
130.36627,2326.207,3.0
5.78626,834.4861,3.0
1.0980393,56.772453,3.0
12.325661,1482.0464,3.0
2.244443,7.8611393,3.0
0.16296251,3.6666565,3.0
2.0,0.0,3.0
6.3484836,71.56574,3.0
1.2444438,33.89909,3.0
0.16296251,3.6666565,3.0
30.981096,2708.1038,3.0
11.272725,237.7076,3.0
7.0529947,336.10376,3.0
0.16296251,3.6666565,3.0
6.621206,602.0348,3.0
1.8984561,160.32059,3.0
1.2610009,60.966934,3.0
0.24444246,13.542741,3.0
4.707711,539.91144,3.0
113.16884,1524.3981,3.0
30.293922,580.55664,4.0
0.7133758,56.0,1.0
0.18392731,14.055281,1.0
1.1127157,344.09378,1.0
3.084362,263.41312,1.0
0.26415095,14.0,1.0
3.1241636,11.288709,1.0
0.12804867,14.188451,1.0
0.12804869,14.352955,1.0
0.24444376,3.6666565,1.0
6.9629617,1378.0619,1.0
2.311111,36.466164,1.0
7.255287,598.862,1.0
2.0,171.84296,1.0
7.8086257,1307.378,1.0
0.63200474,14.85598,1.0
2.214815,220.68555,1.0
0.24444279,16.14087,1.0
1.2950374,32.443203,1.0
1.2882563,349.4847,1.0
0.6017645,112.42498,1.0
0.08641978,7.1525097,1.0
0.6206337,76.32115,1.0
3.0814812,3.6666565,1.0
3.0208733,506.86115,1.0
2.2074075,14.110561,1.0
0.3962264,14.0,1.0
1.9159986,32.443203,1.0
0.13322574,23.981213,1.0
0.48425055,112.36931,1.0
14.835759,670.75494,1.0
17.458,32.794487,1.0
1.414814,317.93323,1.0
1.1629609,117.56203,1.0
0.10370375,7.378651,1.0
7.214814,27.435108,1.0
1.1629621,45.499657,1.0
0.15555552,14.110561,1.0
0.21341419,14.495082,1.0
5.1629615,28.194483,1.0
2.5591881,132.2609,1.0
0.08148068,31.819223,1.0
1.2168086,27.094099,1.0
4.348481,321.95648,1.0
3.0945346,14.232845,1.0
0.4123437,12.817636,1.0
0.19286348,14.180412,1.0
