Time disappeared vs. Time spent from (330, 343) to (560, 364)
Time spent (sec)
Time disappeared (sec)
2.2444437,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
5.0,0.0,1.0
4.0,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
5.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
1.1363627,0.0,1.0
0.0,0.0,1.0
0.081481144,0.0,1.0
3.0,0.0,1.0
11.981143,0.0,1.0
4.9939146,0.0,1.0
181.7872,0.0,1.0
0.0,0.0,1.0
4.0,0.0,1.0
5.0,0.0,1.0
10.279038,0.0,1.0
0.081480995,0.0,1.0
1.735849,0.0,1.0
5.069182,0.0,1.0
1.0,0.0,1.0
0.08148083,0.0,1.0
0.0,0.0,1.0
31.529749,0.0,1.0
24.755556,0.0,1.0
9.0,0.0,1.0
5.0,0.0,1.0
0.0,0.0,1.0
2.0,0.0,1.0
10.021568,0.0,1.0
1.0,0.0,1.0
0.46969655,0.0,1.0
0.0,0.0,1.0
3.0,0.0,1.0
0.0,0.0,1.0
7.0,0.0,1.0
0.325924,0.0,1.0
15.238203,0.0,1.0
6.556992,0.0,1.0
6.932121,0.0,1.0
5.162962,0.0,1.0
5.0,0.0,1.0
1.0,0.0,1.0
1.0814812,0.0,1.0
0.0,0.0,1.0
8.0,0.0,1.0
9.0,0.0,1.0
16.193964,0.0,1.0
15.415093,0.0,1.0
0.0,0.0,1.0
2.7321935,0.0,1.0
7.0,0.0,1.0
1.0,0.0,1.0
0.74814683,0.0,1.0
3.9393935,0.0,1.0
35.917618,0.0,1.0
4.985048,0.0,1.0
1.0,0.0,1.0
3.0814812,0.0,1.0
0.16296247,0.0,1.0
0.16296168,0.0,1.0
2.6060588,0.0,1.0
5.5739813,0.0,1.0
0.0,0.0,1.0
4.0,0.0,1.0
4.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
2.0,0.0,1.0
0.0,0.0,1.0
0.162962,0.0,1.0
13.0,0.0,1.0
0.0,0.0,1.0
2.0,0.0,1.0
0.33333316,0.0,1.0
2.0,0.0,1.0
0.0,0.0,1.0
7.081481,0.0,1.0
10.741017,0.0,1.0
21.928968,0.0,1.0
15.622359,0.0,1.0
4.217844,0.0,1.0
3.162962,0.0,1.0
2.0,0.0,1.0
1.4148138,0.0,1.0
0.16296157,0.0,1.0
7.0,0.0,1.0
0.0,0.0,1.0
0.08148123,0.0,1.0
4.0814815,0.0,1.0
1.0814812,0.0,1.0
0.0,0.0,1.0
2.0,0.0,1.0
2.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
1.081481,0.0,1.0
0.48888752,0.0,1.0
15.919796,0.0,1.0
0.16296251,0.0,1.0
0.0,0.0,1.0
0.081481166,0.0,1.0
2.162962,0.0,1.0
2.0,0.0,1.0
2.0,0.0,1.0
5.3255105,0.0,1.0
0.081481256,0.0,1.0
0.16296166,0.0,5.0
35.53113,0.0,5.0
0.0,0.0,5.0
4.0,0.0,5.0
135.74783,1666.0,5.0
0.32592395,0.0,5.0
8.424236,0.0,5.0
0.0,0.0,5.0
0.16296259,0.0,5.0
0.16296259,0.0,5.0
2.1629615,0.0,5.0
10.764038,0.0,5.0
0.16296229,0.0,5.0
11.167906,0.0,5.0
0.0,0.0,5.0
3.9859033,0.0,5.0
0.0,0.0,5.0
4.0,0.0,5.0
9.163724,0.0,5.0
5.398257,0.0,5.0
2.90061,0.0,5.0
0.24444284,0.0,5.0
4.630772,0.0,5.0
1.7599,0.0,5.0
14.643942,0.0,5.0
1.3333349,0.0,5.0
0.16296166,0.0,5.0
2.3259237,0.0,5.0
10.267764,0.0,5.0
1.9014825,0.0,5.0
5.0,0.0,5.0
1.8139408,0.0,5.0
9.694138,0.0,5.0
0.04680836,0.0,5.0
0.0,0.0,5.0
0.79756653,0.0,5.0
2.93425,0.0,5.0
0.3259246,0.0,5.0
2.032653,0.0,5.0
4.151341,0.0,5.0
2.1629617,0.0,5.0
1.8787864,0.0,5.0
5.3705177,0.0,5.0
1.7889941,0.0,5.0
3.1608133,0.0,5.0
0.6526316,0.0,5.0
0.031205473,0.0,5.0
4.623548,0.0,5.0
7.51307,0.0,5.0
34.610725,0.0,5.0
6.6814475,82.0,5.0
0.81480825,0.0,5.0
9.444553,0.0,5.0
114.30371,0.0,5.0
4.782072,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
5.568776,0.0,5.0
6.390664,0.0,5.0
0.32592314,0.0,5.0
4.251806,0.0,5.0
3.1107206,0.0,5.0
4.1889653,0.0,5.0
1.3057933,0.0,5.0
2.769023,0.0,5.0
11.459386,0.0,5.0
20.886602,0.0,5.0
0.0,0.0,5.0
9.343871,0.0,5.0
2.3642597,0.0,5.0
0.16296166,0.0,5.0
2.0,0.0,5.0
76.207,0.0,5.0
16.7447,49.0,5.0
0.488886,0.0,5.0
0.081481,0.0,5.0
21.79958,0.0,5.0
6.0098352,0.0,5.0
0.0,0.0,5.0
2.4074063,0.0,5.0
0.0,0.0,5.0
4.550821,0.0,5.0
0.16296205,0.0,5.0
0.8155942,0.0,5.0
0.16296166,0.0,2.0
17.51107,0.0,2.0
0.0,0.0,2.0
3.9974337,0.0,2.0
4.2285857,0.0,2.0
12.54071,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.162962,0.0,2.0
1.9846212,0.0,2.0
12.372006,0.0,2.0
5.878786,0.0,2.0
5.8227725,0.0,2.0
0.0,0.0,2.0
3.0542057,0.0,2.0
3.8636107,0.0,2.0
10.444172,0.0,2.0
0.16296193,0.0,2.0
0.0,0.0,2.0
2.6125038,0.0,2.0
3.9532878,0.0,2.0
9.356517,0.0,2.0
33.077106,0.0,2.0
7.272038,0.0,2.0
8.646369,0.0,2.0
3.1141346,0.0,2.0
3.556366,0.0,2.0
0.16296218,0.0,2.0
5.257017,0.0,2.0
19.137985,0.0,2.0
4.2866244,0.0,2.0
10.0,0.0,2.0
10.274671,0.0,2.0
0.0,0.0,2.0
0.015602737,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
2.0,0.0,2.0
3.0,0.0,2.0
2.0,0.0,2.0
1.1144851,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.16296229,0.0,2.0
0.81481045,0.0,2.0
0.081481,0.0,2.0
0.0,0.0,2.0
10.910055,0.0,2.0
5.3484817,0.0,2.0
0.0,0.0,2.0
11.939676,0.0,2.0
0.0,0.0,2.0
0.37051794,0.0,2.0
13.174931,0.0,2.0
5.8886933,0.0,2.0
10.319489,0.0,2.0
2.0,0.0,3.0
9.096376,0.0,3.0
6.4195333,0.0,3.0
2.0,0.0,3.0
8.599046,0.0,3.0
0.16296205,0.0,3.0
2.3263679,0.0,3.0
3.1023552,0.0,3.0
0.67821044,0.0,3.0
5.270804,0.0,3.0
6.107958,0.0,3.0
7.0,0.0,3.0
0.62962687,0.0,3.0
5.410798,16.0,3.0
4.8525896,0.0,3.0
2.741036,0.0,3.0
2.5804067,0.0,3.0
1.4534993,0.0,3.0
7.3851743,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
7.5542865,0.0,3.0
0.99956256,0.0,3.0
2.4740114,0.0,3.0
3.8339164,0.0,3.0
4.778913,0.0,3.0
1.3259233,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
4.7032337,0.0,3.0
7.247286,0.0,3.0
5.7915797,0.0,3.0
0.0,0.0,3.0
6.8893986,0.0,3.0
5.1562424,0.0,3.0
2.7146366,0.0,3.0
14.140578,0.0,3.0
0.16296205,0.0,3.0
2.0,0.0,3.0
0.0,0.0,3.0
0.16296199,0.0,3.0
11.729799,0.0,3.0
0.58040667,0.0,3.0
10.577768,0.0,3.0
2.3263159,0.0,3.0
5.2005463,0.0,3.0
0.0,0.0,3.0
2.2829614,0.0,3.0
2.3371832,0.0,3.0
0.0,0.0,3.0
1.0,0.0,3.0
0.1629619,0.0,3.0
5.630725,0.0,3.0
4.742421,0.0,3.0
39.478756,0.0,3.0
0.32592458,0.0,3.0
8.0537815,0.0,3.0
1.3971742,0.0,3.0
0.0,0.0,4.0
0.24444248,0.0,4.0
0.6518482,0.0,4.0
200.65135,0.0,4.0
63.0,63.0,4.0
5.3460054,0.0,4.0
50.479115,0.0,4.0
0.0,0.0,4.0
8.0,0.0,4.0
0.57036716,0.0,4.0
1.0,0.0,1.0
0.08148075,0.0,1.0
2.0,0.0,1.0
2.0,0.0,1.0
0.08148075,0.0,1.0
0.16296259,0.0,1.0
3.0,0.0,1.0
0.0,0.0,1.0
4.8787856,0.0,1.0
2.0,0.0,1.0
1.3681052,0.0,1.0
3.6818154,0.0,1.0
6.0,0.0,1.0
8.867925,0.0,1.0
4.9481483,0.0,1.0
2.0,0.0,1.0
3.0215685,0.0,1.0
3.2882884,0.0,1.0
6.043137,0.0,1.0
0.10304933,0.0,1.0
1.1629618,0.0,1.0
2.0,0.0,1.0
3.1755726,0.0,1.0
0.78156096,0.0,1.0
2.1629615,0.0,1.0
4.8679247,0.0,1.0
2.6037736,0.0,1.0
4.8679247,0.0,1.0
29.594032,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
2.0,0.0,1.0
32.0,12.0,1.0
1.0,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
1.9393932,0.0,1.0
3.3259232,0.0,1.0
4.0,0.0,1.0
9.0984125,0.0,1.0
11.975864,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.65184987,0.0,1.0
1.0,0.0,1.0
0.0,0.0,1.0
22.896296,0.0,1.0
3.605032,0.0,1.0
6.081481,0.0,1.0
7.0215683,0.0,1.0
3.0,0.0,1.0
2.0,0.0,1.0
3.0,0.0,1.0
5.8679247,0.0,1.0
6.370417,0.0,1.0
3.0,0.0,1.0
1.4696966,0.0,1.0
1.0,0.0,1.0
6.4333153,0.0,1.0
4.0834928,0.0,1.0
3.0814812,0.0,1.0
8.0,0.0,1.0
2.7467105,0.0,1.0
4.9135804,0.0,1.0
10.013288,0.0,1.0
2.6037736,0.0,1.0
3.5981452,0.0,1.0
4.0,0.0,1.0
0.1629615,0.0,1.0
