Time still vs. Path length from (660, 2) to (693, 302)
Path length (points/sec)
Time still (sec)
41.99472,0.0,1.0
82.44347,0.0,1.0
0.0,0.0,1.0
0.0,2.0,1.0
88.37115,0.0,1.0
48.08951,0.0,1.0
193.64531,1.0,1.0
33.2701,0.0,1.0
0.0,0.0,1.0
37.53386,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
16.0,2.0,1.0
0.0,0.0,1.0
281.04977,0.0,1.0
68.18074,0.0,1.0
34.0,3.0,1.0
17.0,12.0,1.0
17.0,0.0,1.0
17.0,15.0,1.0
63.218918,0.0,1.0
0.0,9.0,1.0
274.45926,1.0,1.0
164.14731,21.0,1.0
17.0,0.0,1.0
0.0,0.0,1.0
17.0,0.0,1.0
16.0,0.0,1.0
0.0,2.0,1.0
76.59353,3.0,1.0
300.4813,1.0,1.0
0.0,2.0,1.0
85.30696,0.0,1.0
84.42064,0.0,1.0
80.7785,0.0,1.0
45.96738,1.0,1.0
37.48617,1.0,1.0
131.05432,0.0,1.0
92.49522,0.0,1.0
0.0,0.0,1.0
77.17309,0.0,1.0
271.17783,0.0,1.0
75.255356,0.0,1.0
80.56327,0.0,1.0
75.595146,0.0,1.0
76.254944,0.0,1.0
76.44143,0.0,1.0
383.0,0.0,1.0
0.0,7.0,1.0
80.10315,0.0,5.0
0.0,0.0,5.0
51.770847,0.0,5.0
44.11822,0.0,5.0
50.063595,7.0,5.0
44.793083,6.0,5.0
33.493015,0.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
268.04703,0.0,5.0
41.04467,0.0,5.0
0.0,32.0,5.0
109.55747,0.0,5.0
117.86356,0.0,5.0
0.0,2.0,5.0
91.19241,1.0,5.0
83.0,11.0,5.0
138.3528,0.0,5.0
69.72123,0.0,5.0
50.11354,0.0,5.0
72.66371,0.0,5.0
0.0,0.0,5.0
79.34156,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
178.08757,0.0,5.0
17.0,0.0,5.0
33.0,4.0,5.0
73.88441,4.0,5.0
0.0,0.0,5.0
80.882256,0.0,5.0
142.96738,2.0,5.0
0.0,0.0,5.0
36.352264,1.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
50.707493,0.0,5.0
40.528458,0.0,5.0
97.0,0.0,5.0
0.0,4.0,5.0
0.0,0.0,5.0
50.063595,4.0,5.0
58.58951,0.0,5.0
0.0,5.0,5.0
0.0,1.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
51.770847,0.0,5.0
28.877602,0.0,5.0
262.48245,7.0,5.0
33.0,0.0,5.0
41.64615,2.0,5.0
74.66073,0.0,5.0
0.0,2.0,5.0
149.0,0.0,5.0
75.79018,0.0,5.0
50.707493,2.0,5.0
28.877602,0.0,5.0
38.758583,0.0,5.0
83.06359,2.0,5.0
44.11822,0.0,5.0
37.53386,2.0,5.0
113.39825,0.0,5.0
87.512344,0.0,5.0
0.0,0.0,5.0
0.0,3.0,5.0
33.40496,0.0,5.0
40.281635,0.0,5.0
343.14124,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
79.20227,0.0,5.0
82.275406,0.0,5.0
53.89437,25.0,5.0
157.08128,0.0,5.0
111.593506,0.0,5.0
80.92961,0.0,5.0
0.0,0.0,5.0
33.295395,0.0,5.0
87.64933,0.0,5.0
44.11822,0.0,5.0
50.063595,0.0,5.0
0.0,1.0,5.0
131.36261,0.0,5.0
0.0,2.0,5.0
0.0,0.0,5.0
54.61396,8.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
48.08951,0.0,5.0
0.0,0.0,5.0
33.087612,0.0,5.0
85.25207,5.0,5.0
