Time still vs. Time spent from (330, 302) to (560, 323)
Time spent (sec)
Time still (sec)
2.1975298,0.0,1.0
0.29629436,0.0,1.0
0.1975301,0.0,1.0
0.19752936,0.0,1.0
3.2962952,0.0,1.0
19.39506,7.0,1.0
1.1593701,0.0,1.0
4.061725,0.0,1.0
12.296294,4.0,1.0
1.6567886,0.0,1.0
1.4938235,1.0,1.0
2.4623992,0.0,1.0
7.251851,0.0,1.0
2.2518497,0.0,1.0
0.0606056,0.0,1.0
0.15936978,0.0,1.0
1.9012347,0.0,1.0
2.116048,0.0,1.0
12.605315,0.0,1.0
3.7272716,0.0,1.0
3.3333328,1.0,1.0
6.1212115,6.0,1.0
5.455665,5.0,1.0
1.5580232,0.0,1.0
3.063063,0.0,1.0
4.252358,0.0,1.0
1.2199764,0.0,1.0
0.25813523,0.0,1.0
0.2199761,0.0,1.0
13.558024,2.0,1.0
9.459259,0.0,1.0
1.3187406,0.0,1.0
2.1975293,0.0,1.0
1.6408491,0.0,1.0
0.33333296,0.0,1.0
0.18181668,0.0,1.0
2.7111087,0.0,1.0
2.8327293,0.0,1.0
1.1259252,0.0,1.0
0.53944683,0.0,1.0
4.1593704,0.0,1.0
3.2148116,0.0,1.0
0.8134228,0.0,1.0
1.2424225,1.0,1.0
1.5292888,0.0,1.0
0.99999934,0.0,1.0
1.6364552,0.0,1.0
0.5097243,0.0,1.0
1.1238745,0.0,1.0
1.2518505,0.0,1.0
0.91851753,0.0,1.0
1.0,1.0,1.0
0.0,0.0,1.0
0.45925903,0.0,1.0
0.3950589,0.0,1.0
1.7272716,0.0,1.0
2.8181791,0.0,1.0
4.941112,0.0,1.0
23.028416,1.0,1.0
4.60821,0.0,1.0
1.3396173,0.0,1.0
0.09876448,0.0,1.0
1.1259247,0.0,1.0
1.5162715,1.0,1.0
0.666666,0.0,1.0
0.18181734,0.0,1.0
0.6150318,0.0,1.0
0.7925917,0.0,1.0
1.5925887,0.0,1.0
1.2199763,1.0,1.0
1.3777763,0.0,1.0
8.432097,1.0,1.0
0.28058058,0.0,1.0
0.69808847,0.0,1.0
0.9862407,0.0,1.0
2.3794415,0.0,1.0
12.587665,5.0,1.0
55.58362,0.0,1.0
4.6381702,0.0,1.0
0.17557251,0.0,1.0
0.17821777,0.0,1.0
2.1975305,1.0,1.0
0.25813442,0.0,1.0
0.29629254,0.0,1.0
5.296293,5.0,1.0
0.7901135,0.0,1.0
1.3777761,0.0,1.0
5.9358,2.0,1.0
0.5162699,0.0,1.0
9.296295,6.0,1.0
5.5580235,1.0,1.0
5.666666,2.0,1.0
1.727272,0.0,1.0
0.83980054,0.0,1.0
18.529387,3.0,1.0
2.1160471,0.0,1.0
1.1975292,0.0,1.0
0.2962938,0.0,1.0
4.19753,2.0,1.0
2.432098,0.0,1.0
3.2962942,0.0,1.0
0.09876505,0.0,1.0
4.4592586,2.0,1.0
3.575756,0.0,1.0
11.197529,4.0,1.0
3.792592,1.0,1.0
7.7878776,4.0,1.0
1.9629604,0.0,1.0
4.7272716,0.0,1.0
3.1212115,3.0,1.0
0.36363488,0.0,1.0
2.2612872,0.0,1.0
0.52671754,0.0,1.0
0.29942936,0.0,1.0
9.888751,9.0,1.0
0.52671754,0.0,1.0
90.51473,2.0,1.0
0.9185176,0.0,1.0
0.19752951,0.0,1.0
0.5925887,0.0,1.0
5.9629583,0.0,1.0
0.25813535,0.0,1.0
4.125925,0.0,1.0
0.09876495,0.0,1.0
7.116047,0.0,1.0
2.6666658,0.0,1.0
0.098764874,0.0,1.0
0.29629517,0.0,1.0
0.1975301,0.0,1.0
2.395059,2.0,1.0
8.656788,3.0,1.0
3.0888875,0.0,1.0
0.121211566,0.0,1.0
0.21997683,0.0,1.0
6.159371,2.0,1.0
0.4242408,0.0,1.0
0.95020473,0.0,1.0
0.56600803,0.0,1.0
1.7758672,1.0,1.0
0.4214611,0.0,1.0
5.6643796,0.0,1.0
0.9104009,0.0,1.0
2.4765427,0.0,1.0
0.6374809,0.0,1.0
18.363634,5.0,1.0
20.701681,12.0,1.0
1.8370355,0.0,1.0
0.2962946,0.0,1.0
0.45925885,0.0,1.0
0.91851753,0.0,1.0
0.29629403,0.0,1.0
0.98804384,0.0,1.0
4.2962933,0.0,1.0
5.2962947,4.0,1.0
2.5198646,0.0,1.0
0.21997511,0.0,1.0
0.19752838,0.0,1.0
3.8904705,0.0,1.0
5.1593704,5.0,1.0
0.4848464,0.0,1.0
0.44687453,0.0,1.0
1.3333324,0.0,1.0
2.0769231,2.0,1.0
2.0,2.0,5.0
13.0,8.0,5.0
5.0,3.0,5.0
3.6264105,2.0,5.0
45.0,19.0,5.0
6.080679,3.0,5.0
1.8853503,0.0,5.0
1.3636329,1.0,5.0
5.3333325,4.0,5.0
9.9971285,5.0,5.0
2.0065613,0.0,5.0
1.0638862,0.0,5.0
1.9999987,0.0,5.0
11.403101,4.0,5.0
4.9129114,4.0,5.0
3.2211804,2.0,5.0
6.3564353,6.0,5.0
0.7128712,0.0,5.0
1.2098268,0.0,5.0
10.212805,2.0,5.0
12.666666,4.0,5.0
0.0,0.0,5.0
2.1596818,2.0,5.0
2.6715057,0.0,5.0
3.0941846,0.0,5.0
2.181817,2.0,5.0
0.84566486,0.0,5.0
1.2313433,0.0,5.0
3.678706,0.0,5.0
3.8267643,2.0,5.0
42.27455,0.0,5.0
4.352199,2.0,5.0
1.4883721,0.0,5.0
1.5557415,0.0,5.0
8.03973,4.0,5.0
1.0091743,0.0,5.0
1.039353,0.0,5.0
8.31874,0.0,5.0
0.4938242,0.0,5.0
3.3777764,2.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
13.0,0.0,5.0
0.59258753,0.0,5.0
7.0,7.0,5.0
2.0,2.0,5.0
6.666666,0.0,5.0
8.333332,3.0,5.0
0.47764713,0.0,5.0
4.1212115,2.0,5.0
0.7047619,0.0,5.0
4.88,2.0,5.0
0.48648655,0.0,5.0
4.724247,2.0,5.0
2.762228,2.0,5.0
13.693541,0.0,5.0
0.48648655,0.0,5.0
4.4864864,4.0,5.0
1.5307348,0.0,5.0
0.0,0.0,5.0
5.901961,2.0,5.0
6.0,6.0,5.0
0.0,0.0,5.0
2.666666,2.0,5.0
7.1818175,7.0,5.0
1.5885273,0.0,5.0
4.06375,0.0,5.0
0.35643554,0.0,5.0
0.59254855,0.0,5.0
0.18181713,0.0,5.0
14.942676,7.0,5.0
0.8509414,0.0,5.0
0.4723567,0.0,5.0
0.30302638,0.0,5.0
2.2940404,0.0,5.0
1.795012,0.0,5.0
2.7396507,0.0,5.0
17.932222,6.0,5.0
11.197529,3.0,5.0
0.782781,0.0,5.0
7.333332,0.0,5.0
2.0278149,0.0,5.0
0.0,0.0,5.0
19.734694,0.0,5.0
3.6666663,0.0,5.0
4.474152,1.0,5.0
0.48648655,0.0,5.0
2.2581336,2.0,5.0
3.0,3.0,5.0
9.947405,0.0,5.0
1.0638857,0.0,5.0
0.8429221,0.0,5.0
0.31874081,0.0,5.0
12.316017,5.0,5.0
2.1818173,0.0,5.0
0.0,0.0,5.0
8.666666,2.0,5.0
3.1212118,1.0,5.0
1.8039217,0.0,5.0
6.3511453,2.0,5.0
0.9090792,0.0,5.0
0.2424222,0.0,5.0
8.607698,4.0,5.0
3.220126,0.0,5.0
11.901961,7.0,5.0
14.72973,2.0,5.0
0.7346939,0.0,5.0
4.1538463,4.0,5.0
5.0141683,2.0,5.0
2.8923965,0.0,5.0
11.4050045,0.0,5.0
2.258134,2.0,5.0
16.197529,4.0,5.0
1.45302,0.0,5.0
0.24242125,0.0,5.0
13.176994,0.0,5.0
4.006921,0.0,5.0
2.7551434,2.0,5.0
17.0,0.0,5.0
11.654064,2.0,5.0
0.9729731,0.0,5.0
1.1641587,0.0,5.0
5.0,3.0,5.0
99.090744,0.0,5.0
4.3305144,0.0,5.0
4.0,0.0,5.0
7.3898683,7.0,5.0
8.121211,3.0,5.0
3.3939383,1.0,5.0
0.36734694,0.0,5.0
0.48648655,0.0,5.0
5.303849,3.0,5.0
10.999999,2.0,5.0
