Time still vs. Total angle changed from (100, 343) to (330, 364)
Total angle changed (radians)
Time still (sec)
0.0,4.0,1.0
0.07003596,2.0,1.0
0.07003596,0.0,1.0
0.10683495,0.0,1.0
0.22290023,0.0,1.0
0.9595002,1.0,1.0
0.0,3.0,1.0
0.19050738,2.0,1.0
0.6142496,0.0,1.0
0.12961702,0.0,1.0
0.12961702,0.0,1.0
0.67723715,0.0,1.0
1.06393,1.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.92282516,0.0,1.0
0.5872316,5.0,1.0
0.0,0.0,1.0
0.5984189,0.0,1.0
0.0,0.0,1.0
1.1568958,0.0,1.0
1.5707964,0.0,1.0
1.7739657,0.0,1.0
0.3688889,1.0,1.0
0.45463884,2.0,1.0
0.68243605,2.0,1.0
0.37000614,0.0,1.0
0.5871955,0.0,1.0
1.5981557,0.0,1.0
0.3194434,9.0,1.0
0.79208934,11.0,1.0
1.1614248,2.0,5.0
1.5707964,0.0,5.0
1.0524422,0.0,5.0
0.11211071,4.0,5.0
0.24497867,0.0,5.0
0.24497867,2.0,5.0
0.0,0.0,5.0
0.31591156,0.0,5.0
0.8159309,0.0,5.0
0.0,0.0,5.0
0.47569522,0.0,5.0
0.0,0.0,5.0
0.08787075,2.0,5.0
0.47569522,0.0,5.0
1.1614248,0.0,5.0
0.6857295,0.0,5.0
0.08787075,0.0,5.0
0.1351707,0.0,5.0
0.036846977,0.0,5.0
1.8604294,2.0,5.0
0.0,0.0,5.0
0.06546108,0.0,5.0
0.3042085,0.0,5.0
0.28629294,0.0,5.0
0.029868092,2.0,5.0
0.6857295,0.0,5.0
0.029868092,0.0,5.0
0.5873486,0.0,5.0
0.10515803,2.0,5.0
0.6055447,0.0,5.0
0.2896331,0.0,5.0
0.8459028,0.0,5.0
0.0,0.0,5.0
0.4017438,0.0,5.0
1.5707964,7.0,5.0
0.5883208,0.0,5.0
0.38152102,0.0,5.0
2.508844,0.0,5.0
0.6055447,0.0,5.0
1.7063868,0.0,5.0
0.30133617,0.0,5.0
1.0812399,0.0,5.0
0.6055447,0.0,5.0
0.48148584,0.0,5.0
0.080292605,0.0,5.0
0.08018485,4.0,5.0
0.0031868273,0.0,5.0
0.0031868273,0.0,5.0
0.5636129,0.0,5.0
0.4037823,2.0,5.0
3.1415927,0.0,5.0
0.9652517,2.0,5.0
0.8797121,5.0,5.0
0.6857295,2.0,5.0
0.5055633,0.0,5.0
0.21075355,0.0,5.0
0.07448879,3.0,5.0
0.8613532,2.0,5.0
0.6142496,0.0,5.0
0.0,0.0,5.0
0.9652517,0.0,2.0
0.029868092,4.0,2.0
1.3332975,0.0,2.0
0.635305,0.0,2.0
0.1419788,0.0,2.0
0.3042085,0.0,2.0
0.6857295,0.0,2.0
0.5848394,3.0,2.0
0.31591156,2.0,2.0
0.0,0.0,2.0
0.08787075,0.0,2.0
0.08787075,0.0,2.0
0.08018485,0.0,2.0
0.8115206,6.0,2.0
0.019606493,0.0,2.0
0.37259802,4.0,2.0
0.3960964,0.0,2.0
0.647568,0.0,2.0
0.736154,0.0,2.0
0.0,0.0,2.0
0.09838093,0.0,2.0
0.762849,2.0,2.0
1.3332975,5.0,2.0
0.95177644,0.0,2.0
0.3042085,0.0,2.0
0.29540318,0.0,2.0
0.06021938,0.0,2.0
0.47116625,4.0,2.0
1.242256,0.0,2.0
0.12150264,0.0,2.0
0.0,0.0,3.0
1.7397138,0.0,3.0
0.48148584,2.0,3.0
0.48148584,2.0,3.0
1.7492857,6.0,3.0
0.0,1.0,3.0
3.1415927,0.0,3.0
0.08018485,0.0,3.0
0.08218952,0.0,3.0
0.14473392,0.0,3.0
6.938894E-18,0.0,3.0
0.05042451,0.0,3.0
0.0,0.0,3.0
1.5435922,0.0,3.0
0.46235228,0.0,3.0
0.33154002,1.0,3.0
0.028184906,0.0,3.0
0.9526521,0.0,3.0
1.1755524,0.0,3.0
0.23405394,0.0,3.0
0.23405394,0.0,3.0
1.5707964,0.0,3.0
0.0,0.0,3.0
0.91593206,0.0,3.0
0.12817967,0.0,3.0
0.14727747,1.0,3.0
0.07649989,0.0,3.0
0.0,0.0,3.0
0.47980756,0.0,3.0
0.0,0.0,3.0
0.09261815,0.0,3.0
0.0,0.0,3.0
0.012741455,0.0,3.0
0.080292605,0.0,3.0
0.47569522,0.0,3.0
0.5971435,0.0,3.0
0.6869907,0.0,3.0
0.123399556,0.0,3.0
1.2176135,0.0,3.0
0.6142496,3.0,3.0
0.0,0.0,3.0
0.471463,0.0,3.0
0.72231555,0.0,3.0
1.1364291,0.0,3.0
0.077105775,0.0,3.0
0.0,0.0,4.0
1.9308028,0.0,4.0
2.36743,0.0,4.0
0.53692406,0.0,4.0
0.06573145,0.0,4.0
1.7936965,4.0,4.0
1.5106595,0.0,1.0
0.07547911,0.0,1.0
0.1948277,0.0,1.0
0.0,0.0,1.0
0.6055447,0.0,1.0
0.3042085,0.0,1.0
0.47116625,8.0,1.0
1.0571456,0.0,1.0
0.36037672,0.0,1.0
0.59374964,4.0,1.0
0.0,0.0,1.0
0.73714375,2.0,1.0
0.3688889,0.0,1.0
0.0,1.0,1.0
1.5707964,1.0,1.0
0.0,3.0,1.0
0.6578886,3.0,1.0
3.1415927,0.0,1.0
0.6472748,0.0,1.0
2.36743,0.0,1.0
0.07649989,9.0,1.0
0.19108899,0.0,1.0
3.1415927,0.0,1.0
0.6940665,0.0,1.0
0.47116625,11.0,1.0
0.0,0.0,1.0
0.17005862,2.0,1.0
0.4940463,2.0,1.0
1.7138796,0.0,1.0
0.13993253,3.0,1.0
1.4925674,2.0,1.0
0.3688889,0.0,1.0
0.12619154,2.0,1.0
0.0,0.0,1.0
0.40208003,4.0,1.0
0.018300785,0.0,1.0
0.8613532,0.0,1.0
1.2634332,1.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
3.1415927,0.0,1.0
1.0303768,0.0,1.0
0.4628293,0.0,1.0
0.6857295,0.0,1.0
0.10683495,1.0,1.0
0.3643313,0.0,1.0
0.58629376,0.0,5.0
0.20176235,2.0,5.0
0.1288252,0.0,5.0
2.0464916,0.0,5.0
0.4606219,0.0,5.0
2.2565258,4.0,5.0
0.635305,0.0,5.0
0.8613532,0.0,5.0
0.08984723,0.0,5.0
0.3194434,0.0,5.0
0.3103874,3.0,5.0
0.20176235,2.0,5.0
0.6857295,3.0,5.0
0.38152102,2.0,5.0
1.0951011,0.0,5.0
0.30858827,0.0,5.0
