Total angle changed vs. Average speed from (100, 302) to (330, 323)
Average speed (points/sec)
Total angle changed (radians)
32.56804,0.45525286,1.0
116.295135,0.16076843,1.0
126.28935,0.0,1.0
43.894917,0.7986986,1.0
10.133462,2.0051637,1.0
63.144676,1.9351276,1.0
0.0,1.578315,1.0
0.0,0.0,1.0
0.0,1.7454685,1.0
0.0,0.29649407,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
27.337667,0.35060045,1.0
43.0,2.5352097,1.0
5.2821617,2.2168632,1.0
0.0,0.0,1.0
222.59605,0.76085055,1.0
0.0,0.29649407,1.0
0.0,0.0,1.0
48.53092,1.2140925,1.0
35.324604,0.20257686,1.0
39.52847,0.9652517,1.0
15.846486,1.974937,1.0
0.0,0.76974183,1.0
0.0,0.21273178,1.0
24.543024,1.7254806,1.0
4.6666665,2.5352097,1.0
3.0,1.2442149,1.0
0.0,1.2442149,1.0
0.0,0.0,1.0
0.0,0.19739556,1.0
0.0,0.0,1.0
3.6501975,1.6417897,1.0
0.0,2.3028102,1.0
18.500605,1.3287448,1.0
139.45967,1.2929666,1.0
0.0,0.0,1.0
3.0,0.96441346,1.0
0.0,0.19739556,1.0
0.0,1.0568767,1.0
0.0,3.1415927,1.0
27.85838,2.3565953,1.0
22.0,0.88242376,1.0
2.3043478,1.7454685,1.0
12.230769,0.43838403,1.0
0.0,0.6590619,1.0
0.0,0.02000704,1.0
0.0,0.04462162,1.0
49.333332,1.2160584,1.0
19.833334,0.70523006,1.0
26.5,1.2520715,1.0
0.0,0.0,1.0
0.0,1.426642,1.0
0.0,0.0,1.0
82.57342,0.88242376,1.0
24.571428,0.3493444,1.0
0.0,0.0,1.0
39.940582,0.76974183,1.0
0.0,1.7263244,1.0
0.0,0.8559837,1.0
0.0,0.101536416,1.0
0.0,0.013739565,1.0
0.0,0.057776242,1.0
0.0,0.038216252,1.0
0.0,0.0,1.0
115.50281,0.07006321,1.0
139.8222,0.16162136,1.0
0.0,0.03364527,1.0
0.0,0.7699528,1.0
8.833333,0.7348781,1.0
3.6666667,0.8549807,1.0
0.0,0.52616316,1.0
0.0,1.2442149,1.0
44.0,0.87529606,1.0
1.9139785,1.8474448,1.0
0.0,0.45933768,1.0
11.0,0.43950975,1.0
0.0,0.17034529,1.0
0.0,0.0,1.0
0.0,0.21273178,1.0
0.0,0.03693388,1.0
0.0,0.21273178,1.0
0.0,0.20944317,1.0
0.0,0.008071654,1.0
0.0,0.011844389,1.0
0.0,0.011844389,1.0
20.998287,0.41108543,1.0
0.0,0.061602574,1.0
0.0,0.00921369,1.0
0.0,0.084049195,1.0
0.0,0.084049195,1.0
0.0,0.071605444,1.0
0.0,0.0,1.0
0.0,0.08522967,1.0
21.142857,0.09442284,1.0
0.0,0.0,1.0
0.0,0.17579791,1.0
0.0,0.0070549455,1.0
4.714286,1.7835281,1.0
8.369656,0.599716,1.0
0.0,0.0,1.0
0.0,0.0,1.0
8.20509,0.76085055,1.0
7.882169,1.2754287,1.0
0.0,0.0,1.0
13.75,0.6343624,1.0
0.0,0.64776045,1.0
0.0,1.544203,1.0
4.230769,2.8150113,1.0
9.0,1.2665879,1.0
72.498276,0.0,1.0
52.512604,1.3255152,1.0
12.249938,1.4528205,1.0
0.0,1.5707964,1.0
0.0,0.8779168,1.0
8.153846,0.81955606,1.0
0.0,0.08302924,1.0
3.6,2.8336935,1.0
28.734707,1.5865206,1.0
17.008291,2.3528845,1.0
25.04496,0.0,1.0
8.355591,2.0408485,1.0
0.0,0.0,1.0
0.0,1.2442149,1.0
0.0,0.0,1.0
51.831768,0.4252861,1.0
6.907373,6.710264,1.0
2.5714285,6.0057216,1.0
37.589893,1.4980402,1.0
0.0,0.38307706,1.0
0.0,0.0316239,1.0
0.0,0.0663018,1.0
10.604627,2.2401924,5.0
15.96112,0.9703149,5.0
9.0,3.3543243,5.0
0.0,0.26625204,5.0
0.0,0.13863973,5.0
21.5,0.14301687,5.0
0.0,0.5911846,5.0
199.96861,0.1190122,5.0
295.24695,0.12268234,5.0
0.0,0.0,5.0
0.0,0.08690145,5.0
318.87656,0.0,5.0
14.968475,0.38204485,5.0
8.982746,0.66104317,5.0
0.0,0.050632365,5.0
0.0,0.0,5.0
26.00776,0.33717874,5.0
0.0,0.0,5.0
32.25,0.19739556,5.0
193.85098,0.9940292,5.0
28.666666,1.5707964,5.0
5.5,1.1256275,5.0
8.833333,0.1746722,5.0
13.17878,1.1305802,5.0
26.790182,2.2480772,5.0
0.0,0.0,5.0
0.0,0.18164884,5.0
0.0,0.274054,5.0
4.0,0.26625204,5.0
0.0,0.0,5.0
0.21892455,1.302902,5.0
13.489255,0.66286606,5.0
9.096242,0.72195524,5.0
12.44044,0.6055447,5.0
17.748383,0.0860702,5.0
21.515879,0.25168997,5.0
0.0,0.05264452,5.0
0.0,0.49934673,5.0
25.726032,0.6717954,5.0
28.504385,0.90975314,5.0
0.0,0.0,5.0
74.85171,0.5182074,5.0
137.60999,0.2896331,5.0
0.0,0.0,5.0
0.0,0.3872936,5.0
0.0,0.3872936,5.0
0.0,0.0,5.0
56.81962,3.2483282,5.0
0.0,0.0,5.0
127.993164,0.17670886,5.0
0.0,0.0,5.0
13.922444,4.5790195,5.0
0.0,0.0977137,5.0
333.77988,0.5164783,5.0
13.119815,4.885282,5.0
0.0,1.0691923,5.0
16.818182,0.0,5.0
0.0,0.578138,5.0
0.0,0.1122398,5.0
6.142857,1.1237651,5.0
32.809994,0.5520925,5.0
0.0,0.074358664,5.0
0.0,0.4279485,5.0
0.0,1.2879492,5.0
0.0,0.0,5.0
13.610461,1.0943289,5.0
21.666666,1.160409,5.0
17.918222,0.61714435,5.0
0.0,0.2306883,5.0
0.0,0.07241203,5.0
10.188175,1.0396531,5.0
60.351055,0.38204485,5.0
33.79685,0.38204485,5.0
13.25,0.0,5.0
11.0,0.13863973,5.0
0.0,0.021584906,5.0
227.26416,0.8199791,5.0
227.26416,0.62533957,5.0
3.6111112,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
47.598583,0.23860933,5.0
27.55904,0.0,5.0
9.466503,3.3700938,5.0
7.295663,0.2896331,5.0
0.0,1.0714496,5.0
4.642857,0.0,5.0
2.5144212,2.110132,5.0
69.729836,0.0,5.0
158.1722,0.0301737,5.0
0.0,0.47501075,5.0
0.0,1.4978364,5.0
0.0,0.29101354,5.0
80.700066,0.28255495,5.0
0.0,0.17809294,5.0
0.0,0.0,5.0
333.77988,0.24342592,5.0
0.0,0.0,5.0
29.162437,1.2116889,5.0
0.0,0.0,5.0
0.0,5.551115E-17,5.0
0.0,0.47501075,5.0
0.0,0.11561118,5.0
0.0,0.39479113,5.0
485.78287,0.41635326,5.0
485.78287,1.1353517,5.0
0.0,0.3774792,5.0
97.62812,0.0,5.0
3.642857,3.3726833,5.0
21.230808,4.4900684,5.0
31.821438,0.42018676,5.0
0.0,0.05042451,5.0
0.0,0.085102014,5.0
16.25,0.5442044,5.0
242.89143,0.61714435,5.0
40.225693,1.1353517,5.0
485.78287,0.50954694,5.0
