Total angle changed vs. Path length from (790, 302) to (1020, 323)
Path length (points/sec)
Total angle changed (radians)
202.11363,0.42285392,1.0
0.0,0.9665739,1.0
66.0,0.8206791,1.0
0.0,0.7599546,1.0
201.0,1.3396285,1.0
0.0,0.1314068,1.0
67.0,1.1854626,1.0
0.0,0.501498,1.0
0.0,0.0,1.0
38.470768,0.15130666,1.0
0.0,1.110223E-16,1.0
165.96706,0.25910202,1.0
0.0,0.0,1.0
0.0,0.93804747,1.0
0.0,1.6130247,1.0
267.20355,2.099073,1.0
0.0,0.16918786,1.0
0.0,0.0,1.0
67.0,1.7870243,1.0
0.0,1.110223E-16,1.0
171.34203,1.642396,1.0
0.0,0.08556644,1.0
0.0,0.17353557,1.0
0.0,5.551115E-17,1.0
0.0,0.20587988,1.0
38.470768,2.6172955,1.0
506.08176,0.9861951,1.0
0.0,1.7669783,1.0
152.61833,1.0691923,1.0
67.0,0.74665785,1.0
0.0,0.0,1.0
38.470768,0.5735578,1.0
0.0,0.40024066,1.0
143.06065,2.1038988,1.0
0.0,1.3460003,1.0
0.0,0.5631321,1.0
0.0,0.47374827,1.0
76.941536,0.6857295,1.0
19.87792,1.230489,1.0
0.0,0.1353485,1.0
115.41231,1.7080102,1.0
114.531425,1.8803066,1.0
0.0,0.9793573,1.0
0.0,1.1160523,1.0
0.0,0.468347,1.0
34.0,0.038036615,1.0
0.0,0.46344855,1.0
0.0,1.3052635,1.0
0.0,2.1213458,1.0
0.0,1.3568734,1.0
419.5571,1.3948412,1.0
0.0,0.0,1.0
487.72897,1.4428904,1.0
65.69684,1.5489851,1.0
69.375786,0.98860496,1.0
0.0,1.3460003,1.0
0.0,0.0,1.0
0.0,0.4685144,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.2713346,1.0
0.0,0.4472035,1.0
56.940628,0.40553853,1.0
0.0,0.6857295,1.0
0.0,0.43849587,1.0
38.470768,0.30337006,1.0
0.0,0.93804747,1.0
0.0,0.023963455,1.0
0.0,0.9573813,1.0
99.0,0.02685921,1.0
0.0,0.025598958,1.0
0.0,0.0,1.0
0.0,0.9521327,1.0
0.0,0.57893294,1.0
0.0,0.37319973,1.0
0.0,0.84139377,1.0
0.0,1.1485451,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.44737986,1.0
0.0,0.35147166,1.0
0.0,1.3090829,1.0
0.0,2.0954096,1.0
0.0,1.1160523,1.0
0.0,0.16918786,1.0
0.0,0.0,1.0
0.0,0.21848528,1.0
0.0,0.7027062,1.0
122.02598,1.020247,1.0
0.0,1.5707964,1.0
34.0,0.0,1.0
404.4071,0.33013222,1.0
135.20355,0.30788842,1.0
0.0,0.029554272,1.0
0.0,2.6399887,1.0
0.0,0.35354197,1.0
0.0,0.06307412,1.0
0.0,0.06307412,1.0
76.06066,2.6903238,1.0
134.0,1.0136901,1.0
0.0,0.67114383,1.0
0.0,0.09871126,1.0
67.0,1.6013991,1.0
37.589893,1.7393454,1.0
134.0,0.97280055,1.0
135.20355,0.13352905,1.0
0.0,0.04051835,5.0
0.0,0.0,5.0
0.0,0.4360819,5.0
301.8896,0.4489728,5.0
441.81796,0.02926064,5.0
24.173584,0.8399579,5.0
0.0,0.44195235,5.0
0.0,0.00446714,5.0
0.0,1.6043658,5.0
493.81528,1.4175384,5.0
25.638315,0.19722378,5.0
477.61072,0.6075538,5.0
46.05967,0.0972175,5.0
75.5629,0.0,5.0
0.0,0.30962607,5.0
0.0,0.031131808,5.0
78.42809,0.09235012,5.0
0.0,0.5548874,5.0
0.0,1.6066376,5.0
0.0,0.02685921,5.0
0.0,1.6067789,5.0
23.917828,0.060941394,5.0
106.10899,0.5277419,5.0
443.85477,0.8256391,5.0
0.0,0.68140715,5.0
140.47076,0.97379845,5.0
0.0,0.023836544,5.0
34.798786,0.63107127,5.0
0.0,0.15824032,5.0
0.0,1.971037,5.0
0.0,0.0,5.0
0.0,0.14005633,5.0
0.0,0.51067746,5.0
0.0,0.9705362,5.0
0.0,0.0,5.0
38.470768,1.1419115,5.0
0.0,0.54195315,5.0
400.78052,0.7308384,5.0
81.65884,0.13352905,5.0
0.0,0.9356632,5.0
3.0517578E-4,0.049073238,5.0
0.0,0.8541329,5.0
758.4592,0.8189575,5.0
0.0,0.32991523,5.0
205.05821,0.0,5.0
18.0,3.9694304,5.0
0.0,1.1230325,5.0
177.56529,0.14396589,5.0
31.828642,0.60107374,5.0
0.0,0.9129077,5.0
0.0,3.1415927,5.0
970.17303,0.9786664,5.0
191.8218,1.0560776,5.0
