Amount of time disappeared from the tracking system vs. Modulus speed from (790, 364) to (1020, 385)
Modulus speed (points/sec)
Amount of time disappeared from the tracking system (sec)
0.0,1.0,1.0
0.0,1.0,1.0
0.0,6.0,1.0
22.333334,3.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,33.0,1.0
0.0,1.0,1.0
0.0,3.0,1.0
0.0,1.0,1.0
0.0,2.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
25.5,4.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
17.0,2.0,5.0
51.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,4.0,5.0
0.0,2.0,5.0
0.0,5.0,5.0
0.0,1.0,5.0
0.0,4.0,5.0
0.0,2.0,5.0
0.0,7.0,5.0
0.0,9.0,5.0
0.0,18.0,5.0
102.0,1.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,4.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,6.0,5.0
0.0,0.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,9.0,5.0
0.0,7.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
0.0,3.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
0.0,3.0,5.0
0.0,6.0,5.0
0.0,0.0,5.0
1.6341463,41.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
0.0,2.0,5.0
0.0,5.0,5.0
0.0,4.0,5.0
34.0,3.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
34.0,2.0,5.0
34.0,2.0,5.0
34.0,2.0,5.0
0.0,2.0,5.0
0.0,1.0,5.0
66.0,1.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
17.0,2.0,5.0
34.0,3.0,5.0
0.0,3.0,5.0
0.0,2.0,5.0
0.0,2.0,5.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
0.0,2.0,2.0
0.0,1.0,2.0
0.0,2.0,2.0
0.0,3.0,2.0
0.0,3.0,2.0
0.0,2.0,2.0
17.0,2.0,3.0
0.0,1.0,3.0
51.0,2.0,3.0
0.0,4.0,3.0
0.0,2.0,3.0
0.0,5.0,3.0
0.0,3.0,3.0
0.0,4.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
0.0,2.0,3.0
