Speed angle changed vs. Modulus speed from (560, 343) to (790, 364)
Modulus speed (points/sec)
Speed angle changed (radians)
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
31.906113,-0.5981578,1.0
6.0464864,-1.1590983,1.0
62.0,0.056418467,1.0
10.077477,-0.9470323,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
2.1007774,0.22150582,1.0
62.0,0.25910202,1.0
0.0,0.0,1.0
0.0,0.0,1.0
171.0,0.0,1.0
13.4527025,-0.115134805,1.0
73.5,0.115134805,1.0
0.0,0.0,1.0
171.84296,0.5213408,1.0
14.705441,0.61629695,1.0
0.0,0.0,1.0
0.0,0.0,1.0
171.84296,0.19695777,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
171.84296,0.099089615,1.0
85.92148,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
85.92148,0.0,1.0
171.84296,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
171.84296,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
42.96074,0.099089615,1.0
0.0,0.0,1.0
9.803627,0.8231709,1.0
10.077477,-1.2134736,1.0
32.144207,0.3721719,1.0
0.0,0.0,1.0
14.285714,0.67114383,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
24.0,-0.47116625,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
24.0,-0.32175055,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
10.918893,0.9339738,5.0
0.0,0.0,5.0
0.0,0.0,5.0
31.0,-0.5456551,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
19.0,-0.1412548,5.0
0.0,0.0,5.0
85.92148,0.41807827,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
20.666666,-0.15979795,5.0
15.116217,-2.167973,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
25.0,-0.82384074,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
8.5,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
85.5,-0.26211983,5.0
57.280983,-0.51810175,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
15.116217,-2.167973,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
30.232433,-0.9470323,5.0
0.0,0.0,5.0
0.0,0.0,5.0
20.666666,0.25910202,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
31.0,1.0209432,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
8.5,-2.317454,5.0
10.918893,2.1164513,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
31.0,0.25910202,5.0
0.0,0.0,5.0
0.0,0.0,5.0
19.0,-1.5707964,5.0
0.0,0.0,5.0
85.5,-0.13059573,5.0
0.0,0.0,5.0
85.5,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
12.666667,0.85843873,5.0
0.0,0.0,5.0
0.0,0.0,5.0
47.762432,-0.015041977,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,5.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
30.0,1.0303768,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
12.5,-0.12808284,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
15.116217,-0.9470323,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
85.92148,0.26111817,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,2.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
30.0,-1.5707964,3.0
30.0,-0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
64.288414,0.34827924,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
12.5,0.7133581,3.0
0.0,0.0,3.0
0.0,0.0,3.0
10.077477,0.59033555,3.0
15.116217,-1.110223E-16,3.0
0.0,0.0,3.0
15.116217,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
24.5,-0.16317044,3.0
0.0,0.0,3.0
0.0,0.0,3.0
30.232433,0.59033555,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
171.0,0.5191461,3.0
0.0,0.0,3.0
14.705441,-0.25476637,3.0
0.0,0.0,3.0
0.0,0.0,3.0
24.0,1.2014626,3.0
0.0,0.0,3.0
0.0,0.0,3.0
14.705441,0.73509824,3.0
4.6666665,-1.361411,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
15.953056,-0.2619192,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
19.0,-0.16871054,3.0
0.0,0.0,3.0
0.0,0.0,3.0
5.6666665,1.646544,3.0
0.0,0.0,3.0
8.5,1.7157191,3.0
0.0,0.0,3.0
0.0,0.0,3.0
15.116217,0.16310117,3.0
15.116217,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
0.0,0.0,3.0
