Speed angle vs. Modulus speed from (100, 343) to (330, 364)
Modulus speed (points/sec)
Speed angle (radians)
0.0,0.3643313,1.0
0.0,0.3643313,1.0
0.0,0.3643313,1.0
76.902534,-0.22290023,1.0
2.5238094,-0.0,1.0
0.0,0.47116625,1.0
18.11767,-0.48833394,1.0
0.0,-0.48833394,1.0
0.0,-0.0,1.0
0.0,-0.0,1.0
0.0,0.14189705,1.0
0.0,-0.845156,1.0
34.0,0.0,1.0
17.0,-0.0,1.0
34.0,0.0,1.0
0.0,0.0,1.0
21.5,0.0,1.0
0.0,-0.96441346,1.0
0.0,-0.96441346,1.0
59.609142,-0.14308329,1.0
0.0,1.0691923,1.0
0.0,1.0691923,1.0
0.0,1.0691923,1.0
0.0,1.0691923,1.0
0.0,1.0691923,1.0
0.0,1.0691923,1.0
0.0,1.0691923,1.0
0.0,1.0691923,1.0
0.0,1.0691923,1.0
0.0,1.0691923,1.0
43.0,0.0,1.0
14.333333,-0.0,1.0
34.0,-0.0,1.0
0.0,-0.0,1.0
38.5,0.0,1.0
0.0,0.0,1.0
38.5,-0.0,1.0
0.0,-0.0,1.0
0.0,-0.0,1.0
33.593155,-0.25580856,1.0
67.18631,-0.25580856,1.0
0.0,-0.25580856,1.0
0.0,-0.25580856,1.0
87.66413,-0.19515842,1.0
67.18631,-0.25580856,1.0
11.0,-0.0,1.0
0.0,-0.0,1.0
17.0,-0.0,1.0
0.0,-0.0,1.0
0.0,-0.27708754,1.0
50.224495,-0.17005862,1.0
50.224495,-0.17005862,1.0
0.0,-0.17005862,1.0
0.0,-0.17005862,1.0
0.0,-0.17005862,1.0
77.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
77.0,-0.0,1.0
0.0,1.5707964,1.0
0.0,-1.2442149,1.0
0.0,0.3643313,1.0
0.0,0.3643313,1.0
0.0,0.3643313,1.0
76.902534,-0.22290023,1.0
0.0,1.0568767,1.0
43.0,-0.0,1.0
0.0,-0.0,1.0
0.0,0.8329813,1.0
0.0,0.8329813,1.0
11.0,0.0,1.0
0.0,-0.096839,1.0
0.0,-0.072832316,1.0
0.0,-0.072832316,1.0
14.333333,0.0,1.0
0.0,-0.35691193,1.0
0.0,-0.35691193,1.0
0.0,-0.6779005,1.0
0.0,-0.6779005,1.0
0.0,-0.6779005,1.0
0.0,-0.6779005,1.0
0.0,-1.2442149,1.0
0.0,-1.2442149,1.0
13.901439,-0.6578886,1.0
0.0,-0.845156,1.0
0.0,-0.845156,1.0
50.224495,-0.17005862,1.0
0.0,-0.17005862,1.0
8.5,0.0,1.0
34.0,-0.0,1.0
0.0,0.19883028,1.0
33.593155,-0.25580856,1.0
22.395435,-0.25580856,1.0
0.0,-0.25580856,1.0
43.0,0.0,1.0
0.0,1.1160771,1.0
0.0,1.1160771,1.0
0.0,1.1160771,1.0
0.0,1.1160771,1.0
0.0,-1.2442149,1.0
0.0,0.3239877,1.0
0.0,0.3239877,1.0
0.0,0.3239877,1.0
0.0,0.6857295,5.0
18.56071,-0.47569522,5.0
0.0,0.5676664,5.0
33.593155,-0.25580856,5.0
0.0,-0.59506965,5.0
75.97697,-0.11211071,5.0
0.0,-0.11211071,5.0
0.0,-0.11211071,5.0
0.0,0.24497867,5.0
0.0,0.69287956,5.0
18.56071,-0.47569522,5.0
0.0,0.20176235,5.0
0.0,-0.16839015,5.0
