Speed Angle vs Modulus Speed from (805, 302) to (1044, 323)
Modulus Speed (points/sec)
Speed Angle (radians)
53.72076,-0.06706346,1.0
34.0,-0.0,1.0
0.0,-0.0,1.0
0.0,-0.0,1.0
10.873397,-0.3239877,1.0
33.630783,0.6425862,1.0
33.0,-0.0,1.0
50.803543,0.17809294,1.0
0.0,0.17809294,1.0
101.607086,0.17809294,1.0
0.0,0.17809294,1.0
243.04115,0.25795197,1.0
0.0,0.25795197,1.0
84.0,0.0,1.0
0.0,0.0,1.0
16.5,-0.0,1.0
118.511604,0.5505494,1.0
86.9612,0.2617135,1.0
0.0,0.2617135,1.0
33.5,0.0,1.0
0.0,0.0,1.0
28.200178,-0.92374915,1.0
0.0,-0.92374915,1.0
75.643906,-0.42225116,1.0
112.92475,-0.40024066,1.0
38.470768,-0.48689923,1.0
40.359497,-0.5375866,1.0
468.0,0.0,1.0
0.0,0.0,1.0
43.416588,0.67114383,1.0
18.601076,-0.93804747,1.0
0.0,-0.93804747,1.0
0.0,-0.93804747,1.0
6.0911446,-0.6857295,1.0
62.0,-1.5707964,1.0
33.0,-0.0,1.0
33.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
16.5,-0.0,1.0
33.0,0.0,1.0
135.20355,-0.13352905,1.0
0.0,-0.13352905,1.0
151.28781,-0.42225116,1.0
40.35468,-0.591439,1.0
62.0,-1.5707964,1.0
18.852057,-0.71783197,1.0
7.4444447,0.0,1.0
0.0,0.0,1.0
26.997942,0.5743048,1.0
0.0,0.5743048,1.0
16.198765,0.5743048,1.0
0.0,0.5743048,1.0
2.068883,-0.25877088,1.0
1.8363637,-0.0,1.0
254.8274,-0.17353557,1.0
439.0,0.0,1.0
50.429268,-0.42225116,1.0
23.853292,0.10801172,1.0
70.71068,1.0691923,1.0
38.470768,-0.48689923,1.0
10.333333,-1.5707964,1.0
31.0,-1.5707964,1.0
7.0500445,-0.92374915,1.0
0.0,-0.92374915,1.0
368.0,0.0,1.0
234.0,0.0,1.0
117.0,0.0,1.0
33.5,0.0,1.0
117.0,0.0,1.0
0.0,0.0,1.0
6.451613,0.0,1.0
4.808846,-0.48689923,1.0
112.92475,-0.40024066,1.0
118.511604,0.5505494,1.0
0.0,0.5505494,1.0
33.5,0.0,1.0
0.0,0.0,1.0
6.4117947,-0.48689923,1.0
37.589893,0.49934673,1.0
28.200178,0.92374915,1.0
0.0,0.92374915,1.0
55.657684,0.10801172,1.0
10.854147,0.67114383,1.0
410.0,0.0,1.0
9.617692,-0.48689923,1.0
2.5647178,-0.48689923,1.0
276.32227,-0.09786815,1.0
112.5,0.2837941,1.0
110.57124,0.4191426,1.0
0.0,0.4191426,1.0
0.0,0.4191426,1.0
0.0,0.4191426,1.0
2.404423,-0.48689923,1.0
38.470768,-0.48689923,1.0
38.470768,-0.48689923,1.0
0.0,-0.48689923,1.0
35.49736,0.31506914,1.0
38.470768,-0.48689923,1.0
38.470768,-0.48689923,1.0
0.0,-0.48689923,1.0
37.589893,0.49934673,1.0
40.35468,0.591439,1.0
0.0,0.591439,1.0
0.0,0.591439,1.0
26.903118,-0.591439,1.0
27.873724,0.05384013,1.0
117.0,0.0,1.0
8.5,-0.0,1.0
81.27976,-0.04430596,1.0
73.1642,0.3779683,1.0
62.0,-1.5707964,1.0
