Speed Angle Change vs Modulus Speed from (326, 343) to (566, 364)
Modulus Speed (points/sec)
Speed Angle Changed(radians)
222.59605,0.20356289,1.0
0.0,0.0,1.0
50.0,0.22290023,1.0
77.682045,1.7454685,1.0
133.0902,0.3602511,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
50.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
14.5,0.0,1.0
65.89765,0.0,1.0
29.0,-0.20632389,1.0
89.1852,0.30756712,1.0
63.97656,0.12811576,1.0
19.811613,0.74969906,1.0
27.0,-0.74969906,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
13.5,1.4206738,1.0
0.0,0.0,1.0
61.012295,0.22311336,1.0
101.98039,0.44610554,1.0
15.542281,-1.1215363,1.0
62.169125,0.44926012,1.0
53.535034,2.5691328,1.0
31.084562,-0.30043894,1.0
10.635371,-1.0111817,1.0
95.880135,0.28546286,1.0
0.0,0.0,1.0
13.5,-0.28546286,1.0
0.0,0.0,1.0
0.0,0.0,1.0
127.141655,2.0801866,1.0
55.65968,-0.63213795,1.0
27.771389,0.64684534,1.0
222.0,-0.047416102,1.0
318.6134,-0.062380377,1.0
222.59605,-0.76085055,1.0
84.19092,-0.06735826,1.0
155.36409,0.76974183,1.0
0.0,0.0,1.0
19.006578,-0.6383198,1.0
92.0,0.4636476,1.0
30.220026,0.28511775,1.0
0.0,0.0,1.0
29.0,-0.28511775,1.0
0.0,0.0,1.0
44.34242,-0.58898056,1.0
34.0147,0.57526445,1.0
31.0,1.5707964,1.0
27.0,-1.5707964,1.0
127.88276,0.21273178,1.0
29.0,-0.21273178,1.0
22.2963,0.5538899,1.0
61.269894,0.7726346,1.0
27.82984,-0.3103874,1.0
0.0,0.0,1.0
39.623226,-0.74969906,1.0
0.0,0.0,1.0
0.0,0.0,1.0
109.33092,0.0,1.0
0.0,0.0,1.0
87.91189,0.0,1.0
51.790443,0.26371184,1.0
55.65968,-0.57818663,1.0
18.553226,0.43248323,1.0
52.153618,-1.2248958,1.0
67.30899,0.0,1.0
232.42203,-0.39753518,1.0
50.898182,-1.6330317,1.0
3.1111112,0.4966027,1.0
0.0,0.0,1.0
15.0,0.7072965,1.0
55.0,-1.5707964,1.0
13.75,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
15.118463,-0.12526657,1.0
27.0,0.12526657,1.0
8.5,1.5707964,1.0
28.30636,-1.8757887,1.0
28.0,0.30499235,1.0
0.0,0.0,1.0
14.0,-0.0,1.0
18.0,0.0,1.0
61.59455,-0.09212975,1.0
0.0,0.0,1.0
0.0,0.0,1.0
155.36409,0.1746722,1.0
103.58089,0.26371184,1.0
14.5,-0.26371184,1.0
224.08926,-0.47630754,1.0
14.0,0.861202,1.0
0.0,0.0,1.0
27.666666,0.0,1.0
0.0,0.0,1.0
106.36024,-0.02000704,1.0
17.0,1.4435259,1.0
36.117863,0.04462162,1.0
233.61935,-0.9058136,1.0
153.94154,-0.11065722,1.0
0.0,0.0,1.0
0.0,0.0,1.0
175.82378,0.0,1.0
186.95988,0.14492276,1.0
0.0,0.0,1.0
0.0,0.0,1.0
85.0,-0.14492276,1.0
19.333334,0.0,1.0
160.29036,0.0,1.0
55.0,1.426642,1.0
136.06616,-0.05051624,1.0
109.32977,-0.21786599,1.0
188.30826,0.14173023,1.0
39.80089,0.24680023,1.0
162.88953,-0.97712094,1.0
112.0,0.07101011,1.0
51.40039,0.0,1.0
112.32208,-0.23566078,1.0
27.82984,0.0,1.0
252.57277,0.06735826,1.0
20.691181,-0.91082007,1.0
0.0,0.0,1.0
55.65968,-0.10351346,1.0
14.0,0.3103874,1.0
26.5,0.13240491,1.0
56.61272,0.7092047,1.0
0.0,0.0,1.0
13.5,0.30499235,1.0
27.0,-0.0,1.0
56.61272,-0.30499235,1.0
27.0,0.30499235,1.0
0.0,0.0,1.0
0.0,0.0,1.0
72.235725,0.88242376,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
77.682045,0.1746722,1.0
0.0,0.0,1.0
77.682045,0.0,1.0
0.0,0.0,1.0
158.0,0.5984189,1.0
179.0,0.0,1.0
0.0,0.0,1.0
27.0,-0.0,1.0
0.0,0.0,1.0
54.0,0.0,1.0
27.0,-0.0,1.0
0.0,0.0,1.0
57.60425,-0.19912507,1.0
54.0,-0.23655781,1.0
13.5,0.0,1.0
27.0,0.0,1.0
0.0,0.0,1.0
32.75668,0.5456551,1.0
112.0,-0.13059573,1.0
27.82984,0.0,1.0
27.82984,0.0,1.0
8.804296,0.36374265,1.0
136.29747,0.17063573,1.0
19.517653,1.2351577,1.0
4.6383066,-0.3103874,1.0
20.935915,0.5148086,1.0
0.0,0.0,1.0
175.82378,-0.024006687,1.0
145.25322,1.7263244,1.0
0.0,0.0,1.0
0.0,0.0,1.0
36.117863,0.8559837,1.0
0.0,0.0,1.0
29.0,-0.38307706,1.0
82.0,0.0,1.0
0.0,0.0,1.0
41.0,-0.0,1.0
133.18596,0.101536416,1.0
56.61272,-0.40652877,1.0
0.0,0.0,1.0
179.7248,-0.3399269,1.0
22.0,1.2527088,1.0
83.74366,-1.7752175,1.0
87.414246,0.107029155,1.0
126.269554,-0.21544923,1.0
51.62364,0.0,1.0
136.06616,-0.37024525,1.0
53.0,-0.3614409,1.0
0.0,0.0,1.0
10.430724,-1.8279079,1.0
86.72946,-0.3655182,1.0
82.764725,-0.6780402,1.0
81.0,-0.7039461,1.0
82.764725,-0.6780402,1.0
15.542281,-0.03819252,1.0
9.0,-0.44926012,1.0
19.091883,0.7853982,1.0
27.0,-0.7853982,1.0
53.535034,-0.9983365,1.0
58.0,0.9983365,1.0
29.0,-0.0,1.0
51.790443,0.0,1.0
160.29036,0.017875776,1.0
63.570827,0.50939035,1.0
154.37941,-0.03364527,1.0
57.567352,0.12397817,1.0
44.0,1.3547114,1.0
71.56291,0.26533422,1.0
81.394104,0.07591722,1.0
0.0,0.0,1.0
81.0,-0.099089615,1.0
9.905807,0.74969906,1.0
72.235725,0.7699528,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
80.14518,0.16925122,1.0
0.0,0.0,1.0
1.9078267,-0.79615104,1.0
154.37941,0.45933768,1.0
103.58089,0.26371184,1.0
31.97069,-0.17034529,1.0
13.5,-0.21273178,1.0
186.95988,0.0,1.0
51.20791,0.17661455,1.0
30.186918,0.4636476,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
30.186918,0.0,1.0
27.0,2.158799,1.0
15.953056,-1.0088748,1.0
39.623226,1.0606973,1.0
57.118298,0.39937207,1.0
27.5,-0.23860933,1.0
63.94138,0.03693388,1.0
27.0,1.5707964,1.0
0.0,0.0,1.0
82.0,-1.5707964,1.0
18.333334,-0.0,1.0
27.5,0.0,1.0
105.81233,0.20944317,1.0
29.85067,0.5381587,1.0
0.0,0.0,1.0
4.230769,-0.37739596,1.0
108.0,0.15612637,1.0
13.5,0.0,1.0
82.87943,-0.845156,1.0
34.0147,-1.0435203,1.0
34.0147,-0.9858392,1.0
0.0,0.0,1.0
0.0,0.0,1.0
119.40268,0.5381587,1.0
0.0,0.0,1.0
119.40268,0.0,1.0
17.38454,0.5667292,1.0
134.61798,1.3384296,1.0
269.23596,-0.16377221,1.0
71.56291,-0.21546693,1.0
262.0,-1.5707964,1.0
27.82984,-0.47355786,1.0
51.8001,0.08607687,1.0
29.26175,-0.9363007,1.0
44.0,1.1215363,1.0
71.8401,2.2477112,1.0
0.0,0.0,1.0
0.0,0.0,1.0
89.1852,0.30756712,1.0
0.0,0.0,1.0
0.0,0.0,1.0
19.811613,0.4713994,1.0
27.0,-0.74969906,1.0
31.906113,0.56192154,1.0
164.2833,-0.0070549455,1.0
33.0,-1.5707964,1.0
160.29036,0.16925122,1.0
29.0,-0.16925122,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
25.895222,0.0,1.0
77.682045,0.0,1.0
222.59605,-0.06659032,1.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.0,1.0
45.0,2.125792,1.0
0.0,0.0,1.0
87.91189,-0.096839,1.0
213.71242,0.12667653,1.0
27.0,-0.12667653,1.0
208.75345,-0.08302924,1.0
27.5,-0.12970254,1.0
19.091883,0.0,1.0
38.183765,0.0,1.0
31.084562,0.0,1.0
0.0,0.0,1.0
57.118298,0.39937207,1.0
62.0,3.1415927,1.0
9.333333,-1.5707964,1.0
52.153618,-0.33809787,1.0
0.0,0.0,1.0
22.0,1.2335432,1.0
78.854294,-0.21729343,1.0
44.0,3.1415927,1.0
71.56291,0.13997872,1.0
23.485369,0.344811,1.0
14.0,-0.48745263,1.0
28.0,-0.0,1.0
18.611824,-0.063007966,1.0
0.0,0.0,1.0
56.400356,0.64544946,1.0
189.4228,0.08848163,1.0
103.58089,-1.3070844,1.0
63.97656,2.0064793,1.0
