Time spent vs. Path length from (250, 300) to (425, 380)
Path length (points/sec)
Time spent (sec)
51.37195,4.40678,1.0
52.14286,2.4508126,1.0
52.14286,0.69823533,1.0
52.620804,0.8596099,1.0
250.04352,15.829434,1.0
54.111336,2.95283,1.0
667.4003,29.456112,1.0
238.72133,6.7200003,1.0
182.85632,4.742857,1.0
109.55568,7.5142856,1.0
235.29251,10.521428,1.0
181.38142,2.3524845,1.0
175.48103,22.910099,1.0
68.83568,1.937192,1.0
54.482586,3.4544334,1.0
182.80591,8.315217,1.0
89.42214,6.9839125,1.0
240.38673,11.352577,1.0
177.35269,26.87934,1.0
554.5292,111.846016,1.0
267.6991,22.82716,1.0
48.0,4.981132,1.0
177.7953,4.500255,1.0
44.0,8.381388,1.0
182.27026,9.999111,1.0
250.4997,3.139944,1.0
114.0,7.264151,1.0
176.5997,1.7218766,1.0
102.0,3.237931,1.0
272.45123,9.316797,1.0
45.297504,4.5898724,1.0
49.978485,14.088668,1.0
46.30689,46.37838,1.0
333.68466,22.836199,1.0
276.93967,10.392654,1.0
108.71627,3.5486457,1.0
47.330803,1.1891894,1.0
102.0,10.316195,1.0
189.11185,6.4673915,1.0
83.87054,10.827586,1.0
44.287384,0.59105533,1.0
51.09257,2.672259,1.0
45.961555,1.1251376,1.0
325.4799,3882.0435,1.0
45.108555,18.896078,1.0
48.84717,9.535714,1.0
254.14665,6.7271366,1.0
386.0203,9.368791,1.0
178.19925,5.885527,1.0
317.81662,16.664282,1.0
128.18704,29.82827,1.0
507.7251,42.340473,1.0
49.978485,1.7086917,1.0
46.423588,2.3666093,1.0
240.5685,6.608316,1.0
192.46199,12.479497,1.0
44.287384,3.6290774,1.0
47.89332,2.1118362,1.0
44.287384,3.1550171,1.0
47.18754,1.2584393,1.0
47.18754,0.99337906,1.0
45.6654,3.990991,1.0
45.022808,2.3855422,1.0
50.73429,4.973752,1.0
107.02225,4.8,1.0
185.49774,9.534162,1.0
296.32816,15.849056,1.0
179.86652,8.4627695,1.0
384.07776,14.138157,1.0
252.53026,2.1897223,1.0
323.1883,12.782219,1.0
175.0,19.22883,1.0
46.423588,5.4544334,1.0
44.574768,2.18018,1.0
45.952785,2.5765767,1.0
47.710655,8.901878,1.0
311.58966,27.225363,1.0
114.277626,10.534292,1.0
114.0,3.6944444,1.0
56.343197,3.3569813,1.0
179.2624,17.23793,1.0
252.93452,22.614609,1.0
254.25049,14.034483,1.0
245.60303,16.302956,1.0
170.0,1.6381987,1.0
109.76638,8.437931,1.0
63.952785,10.396397,1.0
182.00757,17.868614,1.0
48.0,1.3584906,1.0
190.24472,7.715995,1.0
180.0,6.965435,1.0
182.02708,4.5391626,1.0
108.195045,1.6078819,1.0
250.19385,9.440001,1.0
44.183693,0.9168941,1.0
103.46101,9.279864,1.0
44.256516,0.9568189,1.0
44.256516,1.7129431,1.0
102.0,1.7586207,1.0
175.0,20.834093,1.0
182.09692,4.1575813,1.0
251.7361,8.823311,1.0
139.2034,3.5172415,1.0
92.53815,3.5172415,1.0
302.0,15.5172415,1.0
485.65298,53.51931,1.0
482.1884,37.144203,1.0
44.0,9.584471,1.0
49.978485,2.3571424,1.0
67.9557,1.5443347,1.0
331.80884,28.35078,1.0
51.22841,1.6271187,1.0
48.277622,28.29421,1.0
49.346355,2.0928302,1.0
48.0,13.48,1.0
115.23513,6.179249,1.0
177.90805,34.456165,1.0
44.411198,2.8337882,1.0
202.62344,17.21145,1.0
50.93483,0.90566033,1.0
80.86966,15.169811,1.0
75.92931,2.5233898,1.0
49.891827,1.6101695,1.0
364.69623,16.910458,1.0
48.0,2.2641509,1.0
346.3708,25.698723,1.0
44.0,158.51724,1.0
245.81825,4.7200003,1.0
245.81825,1.888,1.0
383.18588,13.516196,1.0
49.614204,1.9686601,1.0
49.75608,0.70025283,1.0
55.650555,7.5999994,1.0
182.27026,3.582889,1.0
108.30556,2.2553573,1.0
102.0,33.727833,1.0
115.55,6.8837442,1.0
112.51051,6.1551733,1.0
252.98137,4.902992,1.0
52.059,1.9136378,1.0
44.0,4.034483,1.0
45.6654,11.987452,1.0
45.6654,75.640686,1.0
44.287384,0.98391247,1.0
45.6654,7.5910554,1.0
53.871803,2.722906,1.0
51.113247,2.6579173,1.0
66.16015,3.5301204,1.0
180.19508,8.520884,1.0
2016.7347,59.122776,1.0
729.92676,17.30249,1.0
309.16177,13.5172415,1.0
64.423584,4.151478,1.0
63.08577,284.0505,1.0
109.36765,1.3285714,1.0
342.9354,30.303183,1.0
44.0,4.275862,1.0
243.95705,6.7026205,1.0
102.0,4.6078815,1.0
105.45091,4.114286,1.0
109.76638,4.358621,1.0
112.51051,3.6379313,1.0
220.08626,7.2463255,1.0
228.74841,7.5951624,1.0
103.87957,1.457143,1.0
222.05795,663.1822,1.0
239.34584,51.0845,1.0
44.6951,8.827078,1.0
100.02653,12.990991,1.0
113.75799,4.4331117,1.0
102.0,4.4907637,1.0
226.62337,22.155172,1.0
70.03622,3.0344825,1.0
104.14556,4.3965516,1.0
102.0,7.034483,1.0
496.966,38.831722,1.0
119.33518,8.972222,1.0
179.26262,8.227693,1.0
44.0,10.620689,1.0
253.76067,32.608,1.0
48.0,4.981132,1.0
100.80694,10.82827,1.0
252.1646,3.067062,1.0
52.620804,3.7799807,1.0
256.8032,17.11017,1.0
55.361618,1.3899999,1.0
52.1029,0.7267796,1.0
49.891827,0.81355935,1.0
48.0,23.26415,1.0
418.41315,76.3676,1.0
598.4767,19.852665,1.0
51.53634,1.9528302,1.0
48.277622,2.7822194,1.0
378.86252,24.254606,1.0
128.02953,2.6379313,1.0
102.287384,2.1089125,1.0
64.900154,5.325301,1.0
49.55872,5.344518,1.0
55.072678,8.25,5.0
48.0,5.1084905,5.0
116.47026,2.6511629,5.0
257.6644,11.253846,5.0
614.1863,34.16983,5.0
302.87024,18.088,5.0
49.001873,15.3300495,5.0
241.94595,14.275863,5.0
47.710655,0.6614567,5.0
44.0,2.3029556,5.0
199.2015,11.326422,5.0
271.53275,181.12773,5.0
184.63802,7.9251323,5.0
241.39001,12.142199,5.0
47.199253,2.706431,5.0
204.03761,8.123689,5.0
572.38153,120.52805,5.0
177.521,11.030121,5.0
181.02376,47.85294,5.0
48.0,4.0,5.0
178.2796,21.918003,5.0
48.56555,11.845438,5.0
198.57504,9.546639,5.0
48.0,3.0,5.0
180.0,5.666522,5.0
58.249996,1.0467796,5.0
188.1494,12.788329,5.0
224.88522,19.825317,5.0
183.77628,16.604115,5.0
221.41052,11.137143,5.0
102.67515,7.2799997,5.0
199.61597,14.545213,5.0
180.14308,15.7672415,5.0
485.74265,54.85619,5.0
180.0,3.6734693,5.0
432.5464,64.11346,5.0
146.72908,7.4056606,5.0
129.07,3.9563508,5.0
175.0,3.9795918,5.0
187.32686,3.6418462,5.0
68.348145,1.9528302,5.0
274.92786,9.924021,5.0
44.0,13.873874,5.0
216.1321,12.211451,5.0
118.29038,2.7538462,5.0
374.00757,103.29309,5.0
52.247948,5.441688,5.0
176.14758,35.81472,5.0
175.5114,8.817817,5.0
213.0745,20.443956,5.0
183.70837,16.90097,5.0
706.4196,231.85721,5.0
49.614204,39.530544,5.0
242.45407,7.9110713,5.0
45.85435,18.51873,5.0
221.3283,21.94964,5.0
118.29038,7.015384,5.0
175.0,11.789585,5.0
198.45534,40.442368,5.0
116.68899,8.823077,5.0
370.65793,21.533714,5.0
103.02459,48.434067,5.0
