X,Y,Z,Date And Time,Phone Id's
374,347,0,24/09/2014 10:59:38,HT25TW5055273593c875a9898b00
199,302,0,24/09/2014 10:59:43,HT25TW5055273593c875a9898b00
199,302,0,24/09/2014 10:59:45,HT25TW5055273593c875a9898b00
156,302,0,24/09/2014 10:59:47,HT25TW5055273593c875a9898b00
374,347,0,24/09/2014 10:59:48,HT25TW5055273593c875a9898b00
374,347,0,24/09/2014 10:59:50,HT25TW5055273593c875a9898b00
156,302,0,24/09/2014 10:59:52,HT25TW5055273593c875a9898b00
274,347,0,24/09/2014 10:59:53,HT25TW5055273593c875a9898b00
274,347,0,24/09/2014 10:59:54,HT25TW5055273593c875a9898b00
274,347,0,24/09/2014 10:59:57,HT25TW5055273593c875a9898b00
156,302,0,24/09/2014 10:59:58,HT25TW5055273593c875a9898b00
274,347,0,24/09/2014 10:59:59,HT25TW5055273593c875a9898b00
274,347,0,24/09/2014 11:00:01,HT25TW5055273593c875a9898b00
177,302,0,24/09/2014 11:00:02,HT25TW5055273593c875a9898b00
156,302,0,24/09/2014 11:00:04,HT25TW5055273593c875a9898b00
274,347,0,24/09/2014 11:00:05,HT25TW5055273593c875a9898b00
177,302,0,24/09/2014 11:00:07,HT25TW5055273593c875a9898b00
177,302,0,24/09/2014 11:00:09,HT25TW5055273593c875a9898b00
156,302,0,24/09/2014 11:00:11,HT25TW5055273593c875a9898b00
156,302,0,24/09/2014 11:00:13,HT25TW5055273593c875a9898b00
156,364,0,24/09/2014 11:00:14,HT25TW5055273593c875a9898b00
156,302,0,24/09/2014 11:00:15,HT25TW5055273593c875a9898b00
274,347,0,24/09/2014 11:00:17,HT25TW5055273593c875a9898b00
221,320,0,24/09/2014 11:00:18,HT25TW5055273593c875a9898b00
221,320,0,24/09/2014 11:00:20,HT25TW5055273593c875a9898b00
221,320,0,24/09/2014 11:00:21,HT25TW5055273593c875a9898b00
221,320,0,24/09/2014 11:00:48,HT25TW5055273593c875a9898b00
221,320,0,24/09/2014 11:01:00,HT25TW5055273593c875a9898b00
199,364,0,24/09/2014 11:01:01,HT25TW5055273593c875a9898b00
221,320,0,24/09/2014 11:01:02,HT25TW5055273593c875a9898b00
221,320,0,24/09/2014 11:01:04,HT25TW5055273593c875a9898b00
221,320,0,24/09/2014 11:01:06,HT25TW5055273593c875a9898b00
199,364,0,24/09/2014 11:01:07,HT25TW5055273593c875a9898b00
274,347,0,24/09/2014 11:01:08,HT25TW5055273593c875a9898b00
374,347,0,24/09/2014 11:01:10,HT25TW5055273593c875a9898b00
274,364,0,24/09/2014 11:01:14,HT25TW5055273593c875a9898b00
274,320,0,24/09/2014 11:01:17,TA92903URNf067ff16fcf8e045
156,302,0,24/09/2014 11:01:17,ZX1B23QFSP48abead89f52e3bb
199,302,0,24/09/2014 11:01:19,TA92903URNf067ff16fcf8e045
307,320,0,24/09/2014 11:01:20,ZX1B23QBS53771758c578bbd85
242,302,0,24/09/2014 11:01:20,ZX1B23QFSP48abead89f52e3bb
177,302,0,24/09/2014 11:01:21,TA92903URNf067ff16fcf8e045
242,302,0,24/09/2014 11:01:22,ZX1B23QFSP48abead89f52e3bb
307,347,0,24/09/2014 11:01:22,ZX1B23QBS53771758c578bbd85
242,302,0,24/09/2014 11:01:24,ZX1B23QFSP48abead89f52e3bb
242,302,0,24/09/2014 11:01:24,ZX1B23QBS53771758c578bbd85
199,302,0,24/09/2014 11:01:25,TA92903URNf067ff16fcf8e045
242,302,0,24/09/2014 11:01:26,ZX1B23QFSP48abead89f52e3bb
242,302,0,24/09/2014 11:01:26,ZX1B23QBS53771758c578bbd85
177,302,0,24/09/2014 11:01:27,TA92903URNf067ff16fcf8e045
242,302,0,24/09/2014 11:01:28,ZX1B23QBS53771758c578bbd85
274,320,0,24/09/2014 11:01:28,ZX1B23QFSP48abead89f52e3bb
156,302,0,24/09/2014 11:01:30,TA92903URNf067ff16fcf8e045
242,302,0,24/09/2014 11:01:30,ZX1B23QBS53771758c578bbd85
274,320,0,24/09/2014 11:01:31,ZX1B23QFSP48abead89f52e3bb
177,302,0,24/09/2014 11:01:31,TA92903URNf067ff16fcf8e045
242,302,0,24/09/2014 11:01:32,ZX1B23QBS53771758c578bbd85
374,302,0,24/09/2014 11:01:32,YT910K6675876ded0861342065
274,320,0,24/09/2014 11:01:34,ZX1B23QFSP48abead89f52e3bb
199,302,0,24/09/2014 11:01:34,TA92903URNf067ff16fcf8e045
221,364,0,24/09/2014 11:01:35,HT25TW5055273593c875a9898b00
242,302,0,24/09/2014 11:01:35,ZX1B23QBS53771758c578bbd85
242,302,0,24/09/2014 11:01:35,ZX1B23QFSP48abead89f52e3bb
156,302,0,24/09/2014 11:01:36,TA92903URNf067ff16fcf8e045
221,320,0,24/09/2014 11:01:37,HT25TW5055273593c875a9898b00
199,302,0,24/09/2014 11:01:37,TA92903URNf067ff16fcf8e045
876,302,0,24/09/2014 11:01:38,ZX1B23QBS53771758c578bbd85
242,302,0,24/09/2014 11:01:38,ZX1B23QFSP48abead89f52e3bb
221,320,0,24/09/2014 11:01:39,HT25TW5055273593c875a9898b00
307,320,0,24/09/2014 11:01:39,ZX1B23QBS53771758c578bbd85
177,302,0,24/09/2014 11:01:40,TA92903URNf067ff16fcf8e045
459,347,0,24/09/2014 11:01:40,YT910K6675876ded0861342065
242,302,0,24/09/2014 11:01:40,ZX1B23QFSP48abead89f52e3bb
221,320,0,24/09/2014 11:01:41,HT25TW5055273593c875a9898b00
432,347,0,24/09/2014 11:01:42,ZX1B23QBS53771758c578bbd85
177,302,0,24/09/2014 11:01:42,TA92903URNf067ff16fcf8e045
221,320,0,24/09/2014 11:01:42,HT25TW5055273593c875a9898b00
199,364,0,24/09/2014 11:01:43,YT910K6675876ded0861342065
